# power spectrum of hij
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.456810e-36   0.000000e+00   1.269950e-36   6
  2.776802e-02   2.217413e-11   0.000000e+00   0.000000e+00   12
  3.400874e-02   9.325856e-36   3.725290e-10   4.538117e-37   8
  3.926991e-02   3.016139e-37   0.000000e+00   7.776748e-38   6
  4.390509e-02   1.673004e-12   0.000000e+00   0.000000e+00   24
  4.809562e-02   1.640356e-12   7.024475e-10   0.000000e+00   24
  5.553604e-02   1.685228e-11   0.000000e+00   7.175545e-20   12
  5.890486e-02   1.028928e-12   7.947286e-10   9.529473e-14   30
  6.209118e-02   3.682393e-14   0.000000e+00   1.751842e-23   24
  6.512178e-02   5.637299e-12   1.216675e-09   1.268469e-20   24
  6.801748e-02   9.954794e-37   7.450581e-10   1.288100e-37   8
  7.079483e-02   2.124414e-13   9.934107e-10   3.963966e-22   24
  7.346727e-02   1.354657e-12   0.000000e+00   3.883878e-21   48
  7.853982e-02   2.100899e-35   0.000000e+00   6.016100e-36   6
  8.095699e-02   9.415665e-14   1.404895e-09   6.672987e-15   48
  8.330406e-02   1.513194e-13   0.000000e+00   1.332873e-14   36
  8.558678e-02   5.210392e-13   9.934107e-10   1.585586e-21   24
  8.781018e-02   4.387816e-14   0.000000e+00   0.000000e+00   24
  8.997866e-02   1.031975e-12   0.000000e+00   0.000000e+00   48
  9.209610e-02   1.203231e-13   1.404895e-09   3.963966e-22   24
  9.619124e-02   2.263948e-13   1.404895e-09   5.605894e-22   24
  9.817477e-02   1.888091e-15   0.000000e+00   2.950162e-18   30
  1.001190e-01   7.277444e-14   0.000000e+00   2.135615e-15   72
  1.020262e-01   2.780510e-12   1.490116e-09   2.862743e-13   32
  1.057375e-01   1.812001e-13   0.000000e+00   7.869132e-15   72
  1.075451e-01   2.279440e-13   0.000000e+00   3.963966e-22   48
  1.110721e-01   1.557920e-12   0.000000e+00   0.000000e+00   12
  1.127942e-01   5.768619e-13   0.000000e+00   4.130437e-14   48
  1.144905e-01   5.347268e-15   0.000000e+00   5.319145e-16   48
  1.161620e-01   6.758871e-14   1.404895e-09   0.000000e+00   48
  1.178097e-01   2.589943e-13   1.589457e-09   2.425316e-14   30
  1.194348e-01   1.543083e-15   1.404895e-09   5.474506e-25   24
