# power spectrum of B
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   6.866534e-14   0.000000e+00   1.212639e-14   6
  2.776802e-02   2.750085e-14   0.000000e+00   2.338449e-15   12
  3.400874e-02   4.205469e-14   3.725290e-10   7.203195e-15   8
  3.926991e-02   1.494000e-14   0.000000e+00   4.679887e-15   6
  4.390509e-02   8.288922e-15   0.000000e+00   9.328689e-16   24
  4.809562e-02   7.714846e-15   7.024475e-10   5.625171e-16   24
  5.553604e-02   3.625009e-15   0.000000e+00   3.734476e-16   12
  5.890486e-02   3.371492e-15   7.947286e-10   3.303983e-16   30
  6.209118e-02   2.623696e-15   0.000000e+00   2.620357e-16   24
  6.512178e-02   1.893046e-15   1.216675e-09   1.754386e-16   24
  6.801748e-02   9.829280e-16   7.450581e-10   2.231307e-16   8
  7.079483e-02   8.570112e-16   9.934107e-10   9.332788e-17   24
  7.346727e-02   7.380829e-16   0.000000e+00   5.510027e-17   48
  7.853982e-02   5.470373e-16   0.000000e+00   9.896332e-17   6
  8.095699e-02   6.173558e-16   1.404895e-09   5.797101e-17   48
  8.330406e-02   5.893178e-16   0.000000e+00   4.809880e-17   36
  8.558678e-02   5.277327e-16   9.934107e-10   5.210848e-17   24
  8.781018e-02   4.252812e-16   0.000000e+00   4.798632e-17   24
  8.997866e-02   3.147288e-16   0.000000e+00   2.477444e-17   48
  9.209610e-02   3.066522e-16   1.404895e-09   4.335114e-17   24
  9.619124e-02   2.201258e-16   1.404895e-09   2.744728e-17   24
  9.817477e-02   2.158838e-16   0.000000e+00   1.943521e-17   30
  1.001190e-01   1.695448e-16   0.000000e+00   1.048444e-17   72
  1.020262e-01   2.304382e-16   1.490116e-09   2.843299e-17   32
  1.057375e-01   1.692013e-16   0.000000e+00   1.610001e-17   72
  1.075451e-01   1.669336e-16   0.000000e+00   1.533777e-17   48
  1.110721e-01   1.559836e-16   0.000000e+00   3.984682e-17   12
  1.127942e-01   1.274415e-16   0.000000e+00   8.351969e-18   48
  1.144905e-01   1.034316e-16   0.000000e+00   8.145421e-18   48
  1.161620e-01   1.009883e-16   1.404895e-09   9.792767e-18   48
  1.178097e-01   9.097142e-17   1.589457e-09   8.825695e-18   30
  1.194348e-01   9.848938e-17   1.404895e-09   1.381270e-17   24
  1.210380e-01   7.076869e-17   2.961779e-09   4.661285e-18   72
  1.241824e-01   8.001918e-17   0.000000e+00   9.050498e-18   24
  1.257251e-01   5.996962e-17   0.000000e+00   2.990356e-18   96
  1.272490e-01   5.361859e-17   0.000000e+00   4.377559e-18   48
  1.287550e-01   6.814093e-17   2.433349e-09   1.235413e-17   24
  1.302436e-01   5.832656e-17   2.433349e-09   4.545544e-18   24
  1.317153e-01   6.168268e-17   0.000000e+00   5.043924e-18   72
  1.331707e-01   6.236134e-17   0.000000e+00   3.475459e-18   48
  1.360350e-01   4.531371e-17   1.490116e-09   8.772510e-18   8
  1.374447e-01   3.959755e-17   1.766064e-09   3.273617e-18   54
