# power spectrum of B
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.269298e-33   0.000000e+00   2.022645e-34   6
  2.776802e-02   3.454263e-34   0.000000e+00   1.550342e-35   12
  3.400874e-02   7.799253e-34   3.725290e-10   1.973316e-34   8
  3.926991e-02   1.134690e-33   0.000000e+00   7.644779e-36   6
  4.390509e-02   1.482228e-07   0.000000e+00   0.000000e+00   24
  4.809562e-02   1.452015e-08   7.024475e-10   6.813519e-17   24
  5.553604e-02   6.502284e-34   0.000000e+00   1.992181e-35   12
  5.890486e-02   3.933928e-08   7.947286e-10   6.787784e-09   30
  6.209118e-02   2.955231e-08   0.000000e+00   0.000000e+00   24
  6.512178e-02   2.523933e-10   1.216675e-09   1.064612e-18   24
  6.801748e-02   8.261153e-34   7.450581e-10   4.700277e-35   8
  7.079483e-02   5.863346e-09   9.934107e-10   0.000000e+00   24
  7.346727e-02   1.501092e-08   0.000000e+00   6.813519e-17   48
  7.853982e-02   3.445855e-33   0.000000e+00   1.892740e-34   6
  8.095699e-02   3.275797e-09   1.404895e-09   2.360923e-11   48
  8.330406e-02   1.959391e-09   0.000000e+00   3.703726e-10   36
  8.558678e-02   2.526476e-10   9.934107e-10   0.000000e+00   24
  8.781018e-02   5.379835e-10   0.000000e+00   1.505589e-18   24
  8.997866e-02   1.144145e-09   0.000000e+00   2.129225e-18   48
  9.209610e-02   3.825915e-10   1.404895e-09   0.000000e+00   24
  9.619124e-02   1.120665e-09   1.404895e-09   0.000000e+00   24
  9.817477e-02   1.369405e-10   0.000000e+00   1.032474e-11   30
  1.001190e-01   2.207707e-09   0.000000e+00   1.195458e-11   72
  1.020262e-01   3.142506e-10   1.490116e-09   3.498898e-12   32
  1.057375e-01   6.679576e-10   0.000000e+00   3.995513e-11   72
  1.075451e-01   1.953873e-09   0.000000e+00   0.000000e+00   48
  1.110721e-01   4.751862e-34   0.000000e+00   1.203011e-34   12
  1.127942e-01   5.972493e-10   0.000000e+00   1.206659e-11   48
  1.144905e-01   3.267899e-10   0.000000e+00   2.795751e-11   48
  1.161620e-01   4.979209e-10   1.404895e-09   0.000000e+00   48
  1.178097e-01   4.434048e-10   1.589457e-09   2.533050e-11   30
  1.194348e-01   1.692227e-10   1.404895e-09   7.527946e-19   24
  1.210380e-01   8.143325e-10   2.961779e-09   3.513281e-11   72
  1.241824e-01   1.938167e-10   0.000000e+00   1.881986e-19   24
  1.257251e-01   3.387398e-10   0.000000e+00   1.843802e-11   96
  1.272490e-01   4.211126e-10   0.000000e+00   0.000000e+00   48
  1.287550e-01   6.993092e-10   2.433349e-09   0.000000e+00   24
  1.302436e-01   5.190662e-10   2.433349e-09   0.000000e+00   24
  1.317153e-01   3.814576e-10   0.000000e+00   9.706739e-12   72
  1.331707e-01   2.508619e-10   0.000000e+00   0.000000e+00   48
  1.360350e-01   1.620567e-34   1.490116e-09   2.470419e-35   8
  1.374447e-01   5.143872e-10   1.766064e-09   1.089298e-11   54
  1.388401e-01   2.215422e-10   0.000000e+00   4.249736e-12   84
  1.402216e-01   1.338649e-10   0.000000e+00   1.015362e-11   48
  1.415897e-01   6.285396e-11   1.986821e-09   3.259696e-19   24
  1.429446e-01   1.191311e-10   1.873193e-09   1.473875e-12   72
  1.442869e-01   2.635290e-10   0.000000e+00   2.020679e-11   96
  1.469345e-01   3.529825e-10   0.000000e+00   0.000000e+00   48
  1.482407e-01   1.133035e-10   0.000000e+00   2.798480e-13   48
  1.495354e-01   5.700199e-11   1.986821e-09   0.000000e+00   24
  1.508189e-01   1.653935e-10   0.000000e+00   1.596271e-11   72
  1.533539e-01   2.127410e-10   1.873193e-09   5.504458e-12   72
  1.546058e-01   1.610775e-10   0.000000e+00   3.193620e-13   96
  1.570796e-01   2.992744e-34   0.000000e+00   2.167789e-35   6
  1.583021e-01   1.314179e-10   0.000000e+00   9.890432e-12   96
  1.595151e-01   5.484676e-11   1.986821e-09   2.465921e-12   96
  1.607190e-01   1.323761e-10   0.000000e+00   0.000000e+00   24
  1.619140e-01   3.449247e-11   2.809790e-09   1.684429e-12   48
  1.631002e-01   6.461334e-11   0.000000e+00   9.358666e-13   96
  1.642778e-01   1.317339e-10   0.000000e+00   6.653827e-20   48
  1.666081e-01   1.938287e-11   0.000000e+00   1.310118e-12   36
