# power spectrum of phi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.182885e-07   0.000000e+00   0.000000e+00   6
  2.776802e-02   2.289429e-07   0.000000e+00   8.313039e-16   12
  3.400874e-02   1.348370e-07   3.725290e-10   0.000000e+00   8
  3.926991e-02   5.307316e-08   0.000000e+00   0.000000e+00   6
  4.390509e-02   1.033467e-08   0.000000e+00   0.000000e+00   24
  4.809562e-02   6.613423e-12   7.024475e-10   2.536938e-20   24
  5.553604e-02   1.028197e-08   0.000000e+00   0.000000e+00   12
  5.890486e-02   1.318713e-08   7.947286e-10   3.493298e-11   30
  6.209118e-02   1.252304e-08   0.000000e+00   0.000000e+00   24
  6.512178e-02   9.144335e-09   1.216675e-09   2.597825e-17   24
  6.801748e-02   5.144230e-09   7.450581e-10   2.249782e-17   8
  7.079483e-02   2.309786e-09   9.934107e-10   1.124891e-17   24
  7.346727e-02   5.683963e-10   0.000000e+00   1.148087e-18   48
  7.853982e-02   2.825657e-10   0.000000e+00   0.000000e+00   6
  8.095699e-02   8.397883e-10   1.404895e-09   6.099098e-12   48
  8.330406e-02   1.418650e-09   0.000000e+00   7.925264e-12   36
  8.558678e-02   1.710792e-09   9.934107e-10   0.000000e+00   24
  8.781018e-02   1.972817e-09   0.000000e+00   4.592349e-18   24
  8.997866e-02   1.786471e-09   0.000000e+00   0.000000e+00   48
  9.209610e-02   1.351461e-09   1.404895e-09   0.000000e+00   24
  9.619124e-02   7.036742e-10   1.404895e-09   1.623640e-18   24
  9.817477e-02   3.804052e-10   0.000000e+00   1.412335e-12   30
  1.001190e-01   1.561926e-10   0.000000e+00   5.261852e-13   72
  1.020262e-01   3.115123e-11   1.490116e-09   2.448280e-13   32
  1.057375e-01   1.446502e-11   0.000000e+00   1.389440e-14   72
  1.075451e-01   6.585210e-11   0.000000e+00   1.014775e-19   48
  1.110721e-01   1.576065e-10   0.000000e+00   0.000000e+00   12
  1.127942e-01   2.032716e-10   0.000000e+00   1.967781e-13   48
  1.144905e-01   2.176645e-10   0.000000e+00   8.908213e-13   48
  1.161620e-01   2.283379e-10   1.404895e-09   0.000000e+00   48
  1.178097e-01   2.047000e-10   1.589457e-09   5.116470e-12   30
  1.194348e-01   2.134306e-10   1.404895e-09   0.000000e+00   24
  1.210380e-01   1.539804e-10   2.961779e-09   1.321367e-12   72
  1.241824e-01   8.373439e-11   0.000000e+00   0.000000e+00   24
  1.257251e-01   5.255382e-11   0.000000e+00   3.795158e-13   96
  1.272490e-01   3.710596e-11   0.000000e+00   0.000000e+00   48
  1.287550e-01   2.272254e-11   2.433349e-09   0.000000e+00   24
  1.302436e-01   7.199845e-12   2.433349e-09   1.793886e-20   24
  1.317153e-01   4.649895e-12   0.000000e+00   2.126457e-13   72
  1.331707e-01   1.583252e-12   0.000000e+00   0.000000e+00   48
  1.360350e-01   1.563092e-12   1.490116e-09   0.000000e+00   8
  1.374447e-01   1.868483e-12   1.766064e-09   1.084475e-13   54
  1.388401e-01   4.523540e-12   0.000000e+00   8.591912e-14   84
  1.402216e-01   6.167613e-12   0.000000e+00   3.149436e-14   48
  1.415897e-01   5.159623e-12   1.986821e-09   0.000000e+00   24
  1.429446e-01   8.282722e-12   1.873193e-09   1.260796e-13   72
  1.442869e-01   9.358374e-12   0.000000e+00   3.419444e-13   96
  1.469345e-01   1.017559e-11   0.000000e+00   1.793886e-20   48
  1.482407e-01   1.298264e-11   0.000000e+00   5.626201e-13   48
  1.495354e-01   9.186867e-12   1.986821e-09   0.000000e+00   24
