# power spectrum of phi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.467320e-08   0.000000e+00   0.000000e+00   6
  2.776802e-02   7.933775e-10   0.000000e+00   0.000000e+00   12
  3.400874e-02   1.307882e-10   3.725290e-10   7.030569e-19   8
  3.926991e-02   1.097630e-09   0.000000e+00   0.000000e+00   6
  4.390509e-02   1.280910e-10   0.000000e+00   0.000000e+00   24
  4.809562e-02   2.727052e-10   7.024475e-10   0.000000e+00   24
  5.553604e-02   2.587735e-10   0.000000e+00   8.118202e-19   12
  5.890486e-02   1.315960e-10   7.947286e-10   6.119211e-12   30
  6.209118e-02   4.114518e-11   0.000000e+00   0.000000e+00   24
  6.512178e-02   3.463556e-11   1.216675e-09   0.000000e+00   24
  6.801748e-02   1.995750e-11   7.450581e-10   0.000000e+00   8
  7.079483e-02   2.911712e-11   9.934107e-10   0.000000e+00   24
  7.346727e-02   7.030843e-11   0.000000e+00   0.000000e+00   48
  7.853982e-02   7.718842e-12   0.000000e+00   0.000000e+00   6
  8.095699e-02   1.118229e-11   1.404895e-09   1.517745e-12   48
  8.330406e-02   1.282889e-10   0.000000e+00   2.972141e-11   36
  8.558678e-02   3.091242e-11   9.934107e-10   0.000000e+00   24
  8.781018e-02   9.077649e-12   0.000000e+00   0.000000e+00   24
  8.997866e-02   4.078517e-12   0.000000e+00   8.969431e-21   48
  9.209610e-02   3.846642e-12   1.404895e-09   8.969431e-21   24
  9.619124e-02   9.768065e-12   1.404895e-09   3.587772e-20   24
  9.817477e-02   4.553765e-11   0.000000e+00   3.766330e-12   30
  1.001190e-01   1.015053e-11   0.000000e+00   5.501731e-13   72
  1.020262e-01   6.902748e-12   1.490116e-09   1.373238e-12   32
  1.057375e-01   1.243703e-11   0.000000e+00   1.048691e-12   72
  1.075451e-01   9.540478e-13   0.000000e+00   0.000000e+00   48
  1.110721e-01   1.165082e-10   0.000000e+00   4.059101e-19   12
  1.127942e-01   8.723499e-12   0.000000e+00   7.209601e-13   48
  1.144905e-01   4.631294e-13   0.000000e+00   4.201151e-14   48
  1.161620e-01   4.239825e-13   1.404895e-09   0.000000e+00   48
  1.178097e-01   3.328303e-12   1.589457e-09   1.386365e-13   30
  1.194348e-01   7.970258e-13   1.404895e-09   2.242358e-21   24
  1.210380e-01   1.770164e-11   2.961779e-09   1.442637e-12   72
  1.241824e-01   1.990011e-12   0.000000e+00   0.000000e+00   24
  1.257251e-01   1.074641e-12   0.000000e+00   2.773624e-14   96
  1.272490e-01   1.250840e-11   0.000000e+00   0.000000e+00   48
  1.287550e-01   4.918432e-12   2.433349e-09   0.000000e+00   24
  1.302436e-01   5.624888e-13   2.433349e-09   0.000000e+00   24
  1.317153e-01   5.933615e-12   0.000000e+00   5.944793e-14   72
  1.331707e-01   2.705601e-12   0.000000e+00   6.342346e-21   48
  1.360350e-01   4.707048e-12   1.490116e-09   2.197053e-20   8
  1.374447e-01   4.276932e-12   1.766064e-09   2.815818e-13   54
  1.388401e-01   1.573746e-11   0.000000e+00   3.723475e-12   84
  1.402216e-01   8.958835e-12   0.000000e+00   1.114077e-12   48
  1.415897e-01   1.888534e-13   1.986821e-09   7.927932e-22   24
  1.429446e-01   2.229384e-12   1.873193e-09   1.806767e-13   72
  1.442869e-01   7.344111e-12   0.000000e+00   6.719454e-13   96
  1.469345e-01   6.532133e-12   0.000000e+00   1.268469e-20   48
  1.482407e-01   9.698851e-13   0.000000e+00   1.397655e-13   48
  1.495354e-01   6.959288e-13   1.986821e-09   1.585586e-21   24
  1.508189e-01   1.156171e-13   0.000000e+00   1.280482e-14   72
  1.533539e-01   5.853350e-12   1.873193e-09   3.878978e-13   72
  1.546058e-01   5.612419e-12   0.000000e+00   5.524543e-13   96
  1.570796e-01   1.152835e-11   0.000000e+00   7.175545e-20   6
  1.583021e-01   2.342837e-12   0.000000e+00   2.269670e-13   96
  1.595151e-01   1.843276e-12   1.986821e-09   1.842183e-13   96
  1.607190e-01   1.918341e-13   0.000000e+00   0.000000e+00   24
  1.619140e-01   1.921848e-13   2.809790e-09   7.850200e-15   48
  1.631002e-01   6.425212e-13   0.000000e+00   1.178196e-14   96
  1.642778e-01   5.391234e-14   0.000000e+00   1.401474e-22   48
  1.666081e-01   2.184579e-11   0.000000e+00   5.013328e-12   36
