# power spectrum of chi
# redshift z=50.520088
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.750380e-14   0.000000e+00   7.360231e-17   6
  2.776802e-02   3.071057e-14   0.000000e+00   1.405817e-16   12
  3.400874e-02   1.958547e-14   3.725290e-10   1.605020e-16   8
  3.926991e-02   8.303671e-15   0.000000e+00   1.571793e-16   6
  4.390509e-02   2.190656e-15   0.000000e+00   2.650177e-17   24
  4.809562e-02   1.741189e-16   7.024475e-10   1.025588e-17   24
  5.553604e-02   5.624841e-16   0.000000e+00   2.508817e-17   12
  5.890486e-02   8.179286e-16   7.947286e-10   1.210809e-17   30
  6.209118e-02   8.907868e-16   0.000000e+00   1.460927e-17   24
  6.512178e-02   6.516741e-16   1.216675e-09   1.234982e-17   24
  6.801748e-02   2.820401e-16   7.450581e-10   9.823408e-18   8
  7.079483e-02   1.130163e-16   9.934107e-10   3.210741e-18   24
  7.346727e-02   1.409175e-17   0.000000e+00   1.117932e-18   48
  7.853982e-02   6.613758e-17   0.000000e+00   5.561144e-18   6
  8.095699e-02   1.162139e-16   1.404895e-09   3.977179e-18   48
  8.330406e-02   1.647711e-16   0.000000e+00   3.598390e-18   36
  8.558678e-02   1.551678e-16   9.934107e-10   5.046759e-18   24
  8.781018e-02   1.486708e-16   0.000000e+00   3.004725e-18   24
  8.997866e-02   1.076681e-16   0.000000e+00   2.165716e-18   48
  9.209610e-02   5.255497e-17   1.404895e-09   1.853992e-18   24
  9.619124e-02   7.220105e-18   1.404895e-09   6.514101e-19   24
  9.817477e-02   5.663611e-19   0.000000e+00   7.990925e-20   30
  1.001190e-01   3.331779e-18   0.000000e+00   2.321563e-19   72
  1.020262e-01   1.072533e-17   1.490116e-09   9.057484e-19   32
  1.057375e-01   3.657395e-17   0.000000e+00   9.238437e-19   72
  1.075451e-01   4.137640e-17   0.000000e+00   1.192777e-18   48
  1.110721e-01   3.896420e-17   0.000000e+00   2.307275e-18   12
  1.127942e-01   3.307873e-17   0.000000e+00   1.083503e-18   48
  1.144905e-01   2.522461e-17   0.000000e+00   8.652727e-19   48
  1.161620e-01   1.752132e-17   1.404895e-09   5.325036e-19   48
  1.178097e-01   7.735471e-18   1.589457e-09   6.763047e-19   30
  1.194348e-01   6.746063e-18   1.404895e-09   5.172222e-19   24
  1.210380e-01   1.029284e-18   2.961779e-09   1.239499e-19   72
  1.241824e-01   1.252890e-18   0.000000e+00   1.362796e-19   24
  1.257251e-01   5.327554e-18   0.000000e+00   1.768450e-19   96
  1.272490e-01   9.974401e-18   0.000000e+00   3.459933e-19   48
  1.287550e-01   1.337995e-17   2.433349e-09   5.430633e-19   24
  1.302436e-01   1.574738e-17   2.433349e-09   4.471036e-19   24
  1.317153e-01   1.690450e-17   0.000000e+00   3.351961e-19   72
  1.331707e-01   1.761152e-17   0.000000e+00   3.518625e-19   48
  1.360350e-01   9.859861e-18   1.490116e-09   7.103541e-19   8
  1.374447e-01   1.006258e-17   1.766064e-09   3.650859e-19   54
  1.388401e-01   6.060690e-18   0.000000e+00   1.673392e-19   84
  1.402216e-01   4.117750e-18   0.000000e+00   1.757099e-19   48
  1.415897e-01   2.094202e-18   1.986821e-09   2.105061e-19   24
  1.429446e-01   8.774603e-19   1.873193e-09   6.708251e-20   72
  1.442869e-01   3.035661e-19   0.000000e+00   2.375791e-20   96
  1.469345e-01   1.278058e-18   0.000000e+00   9.088674e-20   48
  1.482407e-01   1.849099e-18   0.000000e+00   1.351176e-19   48
  1.495354e-01   2.013403e-18   1.986821e-09   1.578709e-19   24
  1.508189e-01   3.637464e-18   0.000000e+00   1.344928e-19   72
  1.533539e-01   7.136732e-18   1.873193e-09   1.219060e-19   72
  1.546058e-01   6.985047e-18   0.000000e+00   1.416100e-19   96
  1.570796e-01   5.939206e-18   0.000000e+00   3.044121e-19   6
  1.583021e-01   5.554104e-18   0.000000e+00   1.454165e-19   96
  1.595151e-01   4.556370e-18   1.986821e-09   1.197627e-19   96
  1.607190e-01   4.368384e-18   0.000000e+00   1.229069e-19   24
  1.619140e-01   2.574174e-18   2.809790e-09   9.462630e-20   48
  1.631002e-01   2.114870e-18   0.000000e+00   6.082006e-20   96
