# power spectrum of chi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.144814e-09   0.000000e+00   0.000000e+00   6
  2.776802e-02   8.195683e-08   0.000000e+00   0.000000e+00   12
  3.400874e-02   2.294688e-08   3.725290e-10   0.000000e+00   8
  3.926991e-02   6.817946e-10   0.000000e+00   0.000000e+00   6
  4.390509e-02   7.605288e-09   0.000000e+00   0.000000e+00   24
  4.809562e-02   7.454217e-09   7.024475e-10   0.000000e+00   24
  5.553604e-02   7.523847e-09   0.000000e+00   0.000000e+00   12
  5.890486e-02   1.172683e-08   7.947286e-10   5.959698e-10   30
  6.209118e-02   4.628435e-09   0.000000e+00   0.000000e+00   24
  6.512178e-02   6.297701e-09   1.216675e-09   9.184697e-18   24
  6.801748e-02   1.246073e-08   7.450581e-10   0.000000e+00   8
  7.079483e-02   7.392375e-09   9.934107e-10   0.000000e+00   24
  7.346727e-02   7.850334e-09   0.000000e+00   4.059101e-19   48
  7.853982e-02   5.370910e-10   0.000000e+00   0.000000e+00   6
  8.095699e-02   6.673920e-09   1.404895e-09   3.504695e-10   48
  8.330406e-02   3.698679e-09   0.000000e+00   1.338204e-10   36
  8.558678e-02   8.337099e-09   9.934107e-10   0.000000e+00   24
  8.781018e-02   2.926313e-09   0.000000e+00   0.000000e+00   24
  8.997866e-02   3.959532e-09   0.000000e+00   3.977091e-18   48
  9.209610e-02   6.485674e-09   1.404895e-09   2.870218e-19   24
  9.619124e-02   3.688401e-09   1.404895e-09   0.000000e+00   24
  9.817477e-02   2.870685e-09   0.000000e+00   8.012095e-11   30
  1.001190e-01   2.067659e-09   0.000000e+00   1.156952e-12   72
  1.020262e-01   1.857184e-09   1.490116e-09   2.925759e-10   32
  1.057375e-01   2.495631e-09   0.000000e+00   1.150211e-10   72
  1.075451e-01   7.787762e-10   0.000000e+00   0.000000e+00   48
  1.110721e-01   1.292022e-09   0.000000e+00   0.000000e+00   12
  1.127942e-01   1.177149e-09   0.000000e+00   1.664744e-11   48
  1.144905e-01   1.022571e-09   0.000000e+00   6.494937e-11   48
  1.161620e-01   6.660182e-10   1.404895e-09   7.030569e-19   48
  1.178097e-01   5.818757e-10   1.589457e-09   2.318305e-11   30
  1.194348e-01   5.674596e-11   1.404895e-09   0.000000e+00   24
  1.210380e-01   2.615445e-10   2.961779e-09   7.926453e-12   72
  1.241824e-01   9.331686e-11   0.000000e+00   3.587772e-20   24
  1.257251e-01   2.484208e-10   0.000000e+00   4.481736e-11   96
  1.272490e-01   1.104975e-10   0.000000e+00   1.014775e-19   48
  1.287550e-01   2.947633e-10   2.433349e-09   2.296174e-18   24
  1.302436e-01   3.852142e-11   2.433349e-09   2.242358e-21   24
  1.317153e-01   1.388983e-10   0.000000e+00   1.837756e-11   72
  1.331707e-01   1.955090e-11   0.000000e+00   0.000000e+00   48
  1.360350e-01   7.095126e-10   1.490116e-09   0.000000e+00   8
  1.374447e-01   6.393412e-11   1.766064e-09   5.701778e-12   54
  1.388401e-01   2.930892e-10   0.000000e+00   3.332946e-11   84
  1.402216e-01   2.863459e-11   0.000000e+00   5.384876e-12   48
  1.415897e-01   2.839627e-12   1.986821e-09   8.969431e-21   24
  1.429446e-01   2.461863e-11   1.873193e-09   2.510940e-12   72
  1.442869e-01   9.766405e-11   0.000000e+00   5.623561e-12   96
  1.469345e-01   1.428871e-10   0.000000e+00   0.000000e+00   48
  1.482407e-01   3.823244e-10   0.000000e+00   1.679759e-11   48
  1.495354e-01   3.470031e-13   1.986821e-09   0.000000e+00   24
  1.508189e-01   1.991507e-10   0.000000e+00   5.948470e-12   72
  1.533539e-01   3.122833e-10   1.873193e-09   5.889185e-12   72
  1.546058e-01   5.601123e-11   0.000000e+00   9.324045e-14   96
  1.570796e-01   8.624486e-13   0.000000e+00   0.000000e+00   6
  1.583021e-01   1.469073e-10   0.000000e+00   2.272699e-12   96
  1.595151e-01   3.307889e-10   1.986821e-09   3.055893e-11   96
  1.607190e-01   1.336318e-10   0.000000e+00   0.000000e+00   24
  1.619140e-01   4.379793e-10   2.809790e-09   2.801318e-11   48
  1.631002e-01   5.028841e-11   0.000000e+00   9.723210e-14   96
  1.642778e-01   6.066307e-10   0.000000e+00   0.000000e+00   48
  1.666081e-01   1.115351e-11   0.000000e+00   6.467929e-15   36
  1.677611e-01   3.898580e-11   3.441276e-09   1.448452e-12   48
  1.689063e-01   1.059396e-10   3.893359e-09   1.557148e-12   120
  1.700437e-01   1.543190e-10   0.000000e+00   2.015759e-13   56
  1.711736e-01   2.227637e-10   1.986821e-09   2.485682e-19   24
  1.722960e-01   3.250768e-10   0.000000e+00   6.542451e-13   96
  1.734112e-01   1.115119e-10   0.000000e+00   0.000000e+00   48
  1.756204e-01   1.573882e-12   0.000000e+00   0.000000e+00   24
  1.767146e-01   1.506619e-10   0.000000e+00   6.494257e-13   102
  1.778021e-01   1.612762e-11   0.000000e+00   7.222081e-15   48
  1.788829e-01   1.431424e-10   0.000000e+00   8.034911e-13   72
  1.799573e-01   2.149686e-11   0.000000e+00   0.000000e+00   48
  1.810253e-01   9.955394e-12   0.000000e+00   2.160907e-12   48
  1.820871e-01   1.334653e-10   4.495664e-09   1.504291e-11   120
  1.841922e-01   4.171108e-10   2.809790e-09   0.000000e+00   24
  1.852358e-01   3.007682e-11   2.649095e-09   1.759269e-13   144
  1.862735e-01   1.032201e-10   3.178914e-09   4.912109e-12   120
  1.873055e-01   5.964786e-13   2.809790e-09   1.981983e-22   48
  1.893526e-01   1.997513e-11   2.809790e-09   0.000000e+00   48
  1.903679e-01   4.627885e-11   2.809790e-09   9.974771e-13   96
  1.930487e-01   6.129138e-11   4.711199e-04   7.756784e-13   72
  1.943761e-01   2.194507e-11   3.532127e-09   4.594761e-12   108
  1.953653e-01   2.874617e-11   0.000000e+00   1.945270e-13   72
  1.963495e-01   1.404711e-11   0.000000e+00   9.646810e-14   30
  1.973288e-01   1.737531e-11   0.000000e+00   2.830492e-13   168
  1.983033e-01   8.637896e-12   0.000000e+00   2.207862e-12   48
  2.002380e-01   9.764523e-13   0.000000e+00   1.084322e-13   72
  2.011984e-01   6.173718e-12   0.000000e+00   1.380218e-13   96
  2.021542e-01   2.501798e-12   5.298191e-09   1.046475e-13   72
  2.031055e-01   4.256330e-12   0.000000e+00   1.855829e-13   72
  2.047049e-01   9.621625e-12   4.350048e-04   5.392432e-12   104
  2.059331e-01   2.653112e-11   3.746387e-09   5.701368e-12   144
  2.087224e-01   1.453667e-11   6.282881e-09   1.040161e-13   96
  2.096439e-01   2.741293e-11   0.000000e+00   1.233199e-12   96
  2.111095e-01   4.668174e-12   4.475232e-04   5.647469e-13   120
  2.123845e-01   1.623200e-11   0.000000e+00   2.574007e-12   120
  2.132902e-01   1.325126e-11   0.000000e+00   4.005940e-13   72
  2.150901e-01   1.530343e-12   0.000000e+00   1.585586e-21   48
  2.159845e-01   2.825225e-11   4.235416e-09   8.523042e-13   78
  2.171286e-01   1.124550e-11   4.007142e-04   5.426777e-13   168
  2.195255e-01   1.408017e-11   3.746387e-09   1.877294e-13   144
  2.204018e-01   2.448841e-12   3.746387e-09   4.922633e-14   144
  2.229436e-01   2.020792e-11   2.307791e-04   7.657899e-14   156
  2.238729e-01   3.312240e-11   4.866699e-09   3.128132e-12   48
  2.247323e-01   1.598114e-11   3.178914e-09   2.983175e-14   120
  2.255884e-01   1.236172e-11   0.000000e+00   1.419709e-13   48
  2.271022e-01   3.223614e-11   3.532495e-04   1.693237e-12   216
  2.289809e-01   7.149081e-11   0.000000e+00   2.940075e-12   48
  2.298212e-01   6.188529e-12   2.809790e-09   1.538320e-13   96
  2.310160e-01   2.858841e-11   4.128272e-04   6.836307e-13   168
