# power spectrum of phi
# redshift z=50.520088
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   2.160366e-11   4.350048e-04   8.428877e-13   104
  2.059331e-01   3.419429e-11   3.746387e-09   6.159991e-13   144
  2.087224e-01   4.472959e-11   6.282881e-09   1.020136e-12   96
  2.096439e-01   4.990580e-11   0.000000e+00   1.061137e-12   96
  2.111095e-01   4.420317e-11   4.475232e-04   8.900511e-13   120
  2.123845e-01   4.135989e-11   0.000000e+00   7.232730e-13   120
  2.132902e-01   3.754497e-11   0.000000e+00   1.077067e-12   72
  2.150901e-01   2.619183e-11   0.000000e+00   1.026061e-12   48
  2.159845e-01   1.935972e-11   4.235416e-09   1.299494e-12   78
  2.171286e-01   1.847599e-11   4.007142e-04   6.300252e-13   168
  2.195255e-01   4.478921e-12   3.746387e-09   2.053010e-13   144
  2.204018e-01   1.682314e-12   3.746387e-09   1.326609e-13   144
  2.229436e-01   3.226268e-12   2.307791e-04   1.596480e-13   156
  2.238729e-01   4.223925e-12   4.866699e-09   3.869120e-13   48
  2.247323e-01   7.334344e-12   3.178914e-09   3.394054e-13   120
  2.255884e-01   1.120103e-11   0.000000e+00   4.083104e-13   48
  2.271022e-01   1.800799e-11   3.532495e-04   2.757865e-13   216
  2.289809e-01   2.853170e-11   0.000000e+00   9.925473e-13   48
  2.298212e-01   3.080515e-11   2.809790e-09   6.461589e-13   96
  2.310160e-01   3.008816e-11   4.128272e-04   5.214918e-13   168
  2.323239e-01   3.787430e-11   2.809790e-09   1.016336e-12   48
  2.331522e-01   3.269417e-11   0.000000e+00   5.689417e-13   96
  2.339775e-01   3.220631e-11   0.000000e+00   7.712819e-13   48
  2.356194e-01   3.451486e-11   3.178914e-09   9.171143e-13   30
  2.364362e-01   2.429454e-11   2.809790e-09   7.570472e-13   96
  2.374123e-01   1.735062e-11   3.244455e-04   3.450768e-13   240
  2.386674e-01   1.446896e-11   3.500299e-04   8.256068e-13   32
  2.396752e-01   8.800293e-12   0.000000e+00   3.204042e-13   168
  2.404781e-01   5.731720e-12   0.000000e+00   2.161993e-13   120
  2.420760e-01   2.508468e-12   5.923557e-09   2.080841e-13   72
  2.428710e-01   1.153699e-12   3.746387e-09   1.250371e-13   144
  2.436634e-01   6.328984e-13   0.000000e+00   6.667974e-14   96
  2.444532e-01   1.152177e-12   0.000000e+00   8.230923e-14   96
  2.460253e-01   2.791704e-12   4.588368e-09   2.460252e-13   72
  2.468075e-01   5.775662e-12   3.973643e-09   2.203004e-13   96
  2.483647e-01   5.625437e-12   0.000000e+00   4.148925e-13   24
  2.491396e-01   1.144002e-11   0.000000e+00   2.488025e-13   192
  2.500522e-01   1.560661e-11   2.970416e-04   3.475184e-13   132
  2.514501e-01   1.896419e-11   0.000000e+00   5.036246e-13   96
  2.522156e-01   2.280369e-11   0.000000e+00   4.173009e-13   96
  2.529787e-01   2.189152e-11   3.178914e-09   3.945291e-13   120
  2.544981e-01   2.200047e-11   0.000000e+00   7.457791e-13   48
  2.557435e-01   2.235014e-11   3.599905e-04   3.369375e-13   222
  2.567603e-01   2.088140e-11   0.000000e+00   5.077037e-13   120
  2.575100e-01   1.709548e-11   4.866699e-09   5.417505e-13   24
  2.586015e-01   1.705322e-11   3.715625e-04   2.552425e-13   312
  2.609797e-01   9.319304e-12   3.483547e-04   4.189212e-13   72
  2.619630e-01   6.488230e-12   2.809790e-09   2.462810e-13   96
  2.629726e-01   3.632139e-12   3.547511e-04   1.580950e-13   192
  2.641613e-01   1.142293e-12   4.495664e-09   8.307419e-14   120
  2.648900e-01   1.085346e-12   0.000000e+00   1.002496e-13   144
  2.663415e-01   4.847043e-13   0.000000e+00   6.577431e-14   48
  2.673732e-01   1.626295e-12   3.567146e-04   7.123278e-14   336
  2.685040e-01   2.326527e-12   0.000000e+00   2.206437e-13   48
  2.699360e-01   5.835281e-12   0.000000e+00   1.843205e-13   192
  2.706492e-01   8.795762e-12   0.000000e+00   3.139594e-13   48
  2.726764e-01   1.208438e-11   2.476067e-04   3.455249e-13   56
  2.736844e-01   1.395795e-11   3.180112e-04   1.938138e-13   336
  2.748894e-01   1.795933e-11   3.532127e-09   5.388989e-13   54
  2.759390e-01   1.736300e-11   3.492904e-04   2.734659e-13   240
  2.781181e-01   1.650952e-11   3.344484e-04   2.656593e-13   228
  2.790651e-01   1.431323e-11   3.746387e-09   4.142131e-13   72
  2.799844e-01   1.457167e-11   3.244231e-04   3.343680e-13   144
  2.811298e-01   1.082354e-11   0.000000e+00   3.023959e-13   96
  2.818146e-01   1.096811e-11   4.495664e-09   1.796180e-13   240
  2.831793e-01   4.806298e-12   3.973643e-09   4.090234e-13   24
  2.840530e-01   4.648723e-12   3.064151e-04   1.086931e-13   336
  2.852142e-01   2.247705e-12   0.000000e+00   1.475866e-13   72
  2.862741e-01   1.082587e-12   3.332831e-04   7.119168e-14   168
  2.872346e-01   1.018324e-12   0.000000e+00   7.987911e-14   72
  2.885737e-01   3.645174e-13   0.000000e+00   4.039360e-14   96
  2.896108e-01   1.329966e-12   3.307829e-04   7.445283e-14   216
  2.905708e-01   1.511246e-12   3.973643e-09   7.922185e-14   96
  2.918946e-01   3.295448e-12   0.000000e+00   1.145463e-13   192
  2.925542e-01   5.150444e-12   3.746387e-09   1.571365e-13   144
  2.938691e-01   9.623191e-12   0.000000e+00   2.759295e-13   48
  2.947794e-01   8.964651e-12   3.189136e-04   1.430122e-13   246
  2.960164e-01   9.481150e-12   2.940434e-04   2.160507e-13   168
  2.971308e-01   1.257960e-11   5.506041e-09   2.263122e-13   120
  2.977788e-01   1.187714e-11   0.000000e+00   1.683602e-13   240
  2.990707e-01   1.493814e-11   3.973643e-09   4.798783e-13   24
  3.001001e-01   1.254703e-11   3.147475e-04   1.623546e-13   360
  3.013820e-01   1.186164e-11   3.134082e-04   2.827348e-13   120
  3.022763e-01   9.045818e-12   0.000000e+00   1.901931e-13   144
  3.029133e-01   8.790814e-12   0.000000e+00   2.063027e-13   96
  3.048165e-01   5.977477e-12   0.000000e+00   2.081885e-13   144
  3.054482e-01   3.279308e-12   0.000000e+00   1.548295e-13   132
  3.063360e-01   3.708075e-12   3.093292e-04   1.139286e-13   176
  3.076248e-01   1.895766e-12   3.123602e-04   6.409276e-14   312
  3.092116e-01   1.135011e-12   0.000000e+00   9.282599e-14   96
  3.098343e-01   5.147421e-13   0.000000e+00   3.632762e-14   144
  3.107899e-01   6.858490e-13   3.092271e-04   4.024677e-14   312
  3.123131e-01   7.277179e-13   0.000000e+00   5.995143e-14   48
  3.129297e-01   2.122549e-12   3.973643e-09   1.050187e-13   192
  3.141593e-01   3.674837e-12   0.000000e+00   7.683600e-13   6
  3.149762e-01   3.997266e-12   2.884066e-04   1.297648e-13   288
  3.162994e-01   6.600520e-12   3.047203e-04   2.050020e-13   192
  3.172124e-01   5.684491e-12   9.345130e-09   1.160418e-13   216
  3.178195e-01   8.315800e-12   0.000000e+00   2.100356e-13   72
  3.193321e-01   7.489431e-12   3.018264e-04   1.709244e-13   192
  3.203366e-01   1.041174e-11   2.241224e-04   1.563194e-13   288
  3.214381e-01   5.628869e-12   0.000000e+00   3.529178e-13   24
  3.222890e-01   9.096588e-12   2.952626e-04   1.177154e-13   456
  3.238280e-01   5.673805e-12   5.619580e-09   2.462782e-13   48
  3.247789e-01   5.900821e-12   2.908218e-04   1.513358e-13   240
