# power spectrum of hij
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.044727e-43   0.000000e+00   1.539561e-43   6
  2.776802e-02   8.562633e-18   0.000000e+00   0.000000e+00   12
  3.400874e-02   3.353582e-44   3.725290e-10   3.930594e-45   8
  3.926991e-02   1.234142e-44   0.000000e+00   2.130337e-45   6
  4.390509e-02   4.632045e-19   0.000000e+00   0.000000e+00   24
  4.809562e-02   5.298466e-19   7.024475e-10   2.138479e-27   24
  5.553604e-02   8.469173e-20   0.000000e+00   0.000000e+00   12
  5.890486e-02   2.001660e-20   7.947286e-10   1.607467e-21   30
  6.209118e-02   3.723816e-19   0.000000e+00   1.069240e-27   24
  6.512178e-02   1.390388e-19   1.216675e-09   0.000000e+00   24
  6.801748e-02   3.063014e-45   7.450581e-10   2.740397e-46   8
  7.079483e-02   6.212323e-19   9.934107e-10   2.390892e-27   24
  7.346727e-02   9.445117e-20   0.000000e+00   4.725416e-29   48
  7.853982e-02   9.583798e-46   0.000000e+00   2.710564e-46   6
  8.095699e-02   4.369626e-19   1.404895e-09   3.007176e-20   48
  8.330406e-02   1.125874e-18   0.000000e+00   2.463557e-19   36
  8.558678e-02   3.245855e-18   9.934107e-10   0.000000e+00   24
  8.781018e-02   1.698677e-18   0.000000e+00   0.000000e+00   24
  8.997866e-02   2.348560e-18   0.000000e+00   4.276958e-27   48
  9.209610e-02   2.153203e-18   1.404895e-09   0.000000e+00   24
  9.619124e-02   1.554218e-18   1.404895e-09   0.000000e+00   24
  9.817477e-02   5.627922e-20   0.000000e+00   4.141947e-21   30
  1.001190e-01   3.314965e-18   0.000000e+00   5.123879e-19   72
  1.020262e-01   8.847535e-18   1.490116e-09   8.485773e-19   32
  1.057375e-01   1.030732e-18   0.000000e+00   1.336413e-19   72
  1.075451e-01   3.582388e-19   0.000000e+00   0.000000e+00   48
  1.110721e-01   7.087071e-19   0.000000e+00   3.024266e-27   12
  1.127942e-01   1.069532e-18   0.000000e+00   1.223089e-19   48
