# power spectrum of hij
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   2.652474e-23   4.350048e-04   2.495264e-24   104
  2.059331e-01   2.735131e-23   3.746387e-09   1.442746e-24   144
  2.087224e-01   2.571534e-23   6.282881e-09   1.627409e-24   96
  2.096439e-01   2.388363e-23   0.000000e+00   1.505607e-24   96
  2.111095e-01   2.310548e-23   4.475232e-04   1.401642e-24   120
  2.123845e-01   2.350028e-23   0.000000e+00   1.632674e-24   120
  2.132902e-01   2.760767e-23   0.000000e+00   2.198459e-24   72
  2.150901e-01   2.196707e-23   0.000000e+00   2.267863e-24   48
  2.159845e-01   1.944884e-23   4.235416e-09   1.527827e-24   78
  2.171286e-01   1.516185e-23   4.007142e-04   7.726828e-25   168
  2.195255e-01   2.023780e-23   3.746387e-09   1.239494e-24   144
  2.204018e-01   1.761331e-23   3.746387e-09   1.054420e-24   144
  2.229436e-01   1.956130e-23   2.307791e-04   1.332581e-24   156
  2.238729e-01   1.568443e-23   4.866699e-09   1.737687e-24   48
  2.247323e-01   1.592716e-23   3.178914e-09   1.031867e-24   120
  2.255884e-01   1.788123e-23   0.000000e+00   1.658069e-24   48
  2.271022e-01   1.598160e-23   3.532495e-04   7.511561e-25   216
  2.289809e-01   1.572171e-23   0.000000e+00   1.672489e-24   48
  2.298212e-01   1.349977e-23   2.809790e-09   9.715231e-25   96
  2.310160e-01   1.255180e-23   4.128272e-04   6.193900e-25   168
  2.323239e-01   1.169254e-23   2.809790e-09   1.109647e-24   48
  2.331522e-01   1.363834e-23   0.000000e+00   9.213192e-25   96
  2.339775e-01   1.629149e-23   0.000000e+00   1.905213e-24   48
  2.356194e-01   1.525365e-23   3.178914e-09   1.491601e-24   30
  2.364362e-01   1.295070e-23   2.809790e-09   7.354688e-25   96
  2.374123e-01   1.229041e-23   3.244455e-04   5.324182e-25   240
  2.386674e-01   1.834563e-23   3.500299e-04   2.391878e-24   32
  2.396752e-01   1.221487e-23   0.000000e+00   6.566151e-25   168
  2.404781e-01   1.018709e-23   0.000000e+00   6.561250e-25   120
  2.420760e-01   1.077119e-23   5.923557e-09   8.917411e-25   72
  2.428710e-01   1.036462e-23   3.746387e-09   6.229500e-25   144
  2.436634e-01   1.059024e-23   0.000000e+00   8.420707e-25   96
  2.444532e-01   1.034737e-23   0.000000e+00   6.872283e-25   96
