# power spectrum of hij
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.686064e-42   0.000000e+00   4.870649e-43   6
  2.776802e-02   2.060894e-18   0.000000e+00   0.000000e+00   12
  3.400874e-02   1.127730e-43   3.725290e-10   1.080045e-44   8
  3.926991e-02   1.148673e-43   0.000000e+00   3.029208e-44   6
  4.390509e-02   9.682318e-19   0.000000e+00   0.000000e+00   24
  4.809562e-02   1.028986e-18   7.024475e-10   3.024266e-27   24
  5.553604e-02   5.993565e-19   0.000000e+00   0.000000e+00   12
  5.890486e-02   1.582393e-19   7.947286e-10   1.458797e-20   30
  6.209118e-02   2.845725e-19   0.000000e+00   7.560665e-28   24
  6.512178e-02   9.729730e-19   1.216675e-09   0.000000e+00   24
  6.801748e-02   9.699611e-45   7.450581e-10   2.984659e-45   8
  7.079483e-02   3.419278e-20   9.934107e-10   0.000000e+00   24
  7.346727e-02   2.208458e-19   0.000000e+00   3.780333e-28   48
  7.853982e-02   4.545885e-45   0.000000e+00   1.170601e-45   6
  8.095699e-02   5.808263e-20   1.404895e-09   1.866539e-21   48
  8.330406e-02   1.097406e-19   0.000000e+00   9.734820e-22   36
  8.558678e-02   8.217969e-20   9.934107e-10   0.000000e+00   24
  8.781018e-02   1.282142e-19   0.000000e+00   0.000000e+00   24
  8.997866e-02   2.186992e-19   0.000000e+00   3.780333e-28   48
  9.209610e-02   2.195696e-20   1.404895e-09   9.450831e-29   24
  9.619124e-02   8.412770e-20   1.404895e-09   0.000000e+00   24
  9.817477e-02   1.451841e-19   0.000000e+00   1.328855e-20   30
  1.001190e-01   1.355736e-19   0.000000e+00   7.784681e-21   72
  1.020262e-01   1.269400e-20   1.490116e-09   5.507923e-22   32
  1.057375e-01   5.354561e-20   0.000000e+00   1.379340e-21   72
  1.075451e-01   2.088220e-19   0.000000e+00   0.000000e+00   48
  1.110721e-01   7.908202e-20   0.000000e+00   0.000000e+00   12
  1.127942e-01   8.543393e-20   0.000000e+00   7.934624e-21   48
  1.144905e-01   2.090427e-20   0.000000e+00   2.532541e-21   48
  1.161620e-01   1.581107e-19   1.404895e-09   3.780333e-28   48
  1.178097e-01   2.489259e-19   1.589457e-09   2.270163e-20   30
  1.194348e-01   1.046568e-19   1.404895e-09   3.780333e-28   24
  1.210380e-01   6.599731e-20   2.961779e-09   4.975967e-21   72
  1.241824e-01   1.533048e-19   0.000000e+00   0.000000e+00   24
  1.257251e-01   1.359472e-19   0.000000e+00   7.097431e-21   96
  1.272490e-01   3.733644e-20   0.000000e+00   9.450831e-29   48
  1.287550e-01   1.069945e-19   2.433349e-09   3.780333e-28   24
  1.302436e-01   1.374693e-19   2.433349e-09   0.000000e+00   24
  1.317153e-01   1.636791e-19   0.000000e+00   1.416658e-20   72
  1.331707e-01   1.122330e-19   0.000000e+00   1.890166e-28   48
  1.360350e-01   7.364312e-45   1.490116e-09   1.595759e-45   8
  1.374447e-01   7.671383e-20   1.766064e-09   3.714772e-21   54
  1.388401e-01   1.192110e-19   0.000000e+00   5.714971e-21   84
  1.402216e-01   5.886901e-20   0.000000e+00   6.420376e-21   48
  1.415897e-01   3.597088e-19   1.986821e-09   1.512133e-27   24
  1.429446e-01   1.063189e-19   1.873193e-09   6.490357e-21   72
  1.442869e-01   8.511917e-20   0.000000e+00   4.976592e-21   96
  1.469345e-01   8.267963e-21   0.000000e+00   1.670687e-29   48
  1.482407e-01   1.988364e-19   0.000000e+00   3.075658e-21   48
  1.495354e-01   3.417886e-19   1.986821e-09   0.000000e+00   24
  1.508189e-01   1.530498e-19   0.000000e+00   1.259867e-20   72
  1.533539e-01   5.662574e-20   1.873193e-09   4.552337e-22   72
  1.546058e-01   2.742547e-19   0.000000e+00   3.335925e-21   96
  1.570796e-01   1.737609e-45   0.000000e+00   7.097174e-46   6
  1.583021e-01   2.385942e-19   0.000000e+00   1.085806e-20   96
  1.595151e-01   8.387471e-20   1.986821e-09   5.463467e-21   96
  1.607190e-01   1.193226e-19   0.000000e+00   0.000000e+00   24
  1.619140e-01   1.350475e-19   2.809790e-09   1.833833e-20   48
  1.631002e-01   9.098130e-20   0.000000e+00   1.259685e-21   96
  1.642778e-01   1.014979e-20   0.000000e+00   2.893714e-29   48
  1.666081e-01   1.008477e-19   0.000000e+00   4.589806e-21   36
  1.677611e-01   1.585382e-19   3.441276e-09   8.536184e-21   48
  1.689063e-01   1.032313e-19   3.893359e-09   6.931868e-21   120
  1.700437e-01   1.151819e-19   0.000000e+00   6.311052e-21   56
  1.711736e-01   8.970063e-20   1.986821e-09   0.000000e+00   24
  1.722960e-01   4.837282e-20   0.000000e+00   2.015227e-21   96
  1.734112e-01   9.679213e-20   0.000000e+00   2.673099e-28   48
  1.756204e-01   6.240367e-20   0.000000e+00   0.000000e+00   24
  1.767146e-01   2.568953e-20   0.000000e+00   1.911629e-21   102
  1.778021e-01   1.024536e-19   0.000000e+00   1.464810e-20   48
  1.788829e-01   7.068784e-21   0.000000e+00   3.454674e-23   72
  1.799573e-01   2.787286e-20   0.000000e+00   0.000000e+00   48
  1.810253e-01   1.657793e-20   0.000000e+00   6.671897e-22   48
  1.820871e-01   6.448922e-20   4.495664e-09   6.517883e-21   120
  1.841922e-01   4.857048e-20   2.809790e-09   1.336549e-28   24
  1.852358e-01   1.382713e-19   2.649095e-09   1.919880e-20   144
  1.862735e-01   1.246166e-19   3.178914e-09   2.019079e-20   120
  1.873055e-01   8.711158e-19   2.809790e-09   1.512133e-27   48
  1.893526e-01   4.406501e-20   2.809790e-09   0.000000e+00   48
  1.903679e-01   3.760679e-19   2.809790e-09   2.165269e-20   96
  1.930487e-01   2.606718e-20   4.711199e-04   5.947377e-22   72
  1.943761e-01   1.562140e-19   3.532127e-09   3.168179e-20   108
  1.953653e-01   3.053470e-19   0.000000e+00   3.869855e-20   72
  1.963495e-01   4.875840e-20   0.000000e+00   4.453588e-21   30
  1.973288e-01   2.095830e-19   0.000000e+00   1.876532e-20   168
  1.983033e-01   6.015231e-19   0.000000e+00   2.802199e-20   48
  2.002380e-01   5.273383e-19   0.000000e+00   4.672676e-20   72
  2.011984e-01   2.131942e-19   0.000000e+00   4.481187e-21   96
  2.021542e-01   4.774817e-19   5.298191e-09   1.437827e-20   72
  2.031055e-01   5.188281e-19   0.000000e+00   3.452902e-20   72
  2.047049e-01   1.552332e-19   4.350048e-04   8.511383e-21   104
  2.059331e-01   3.001878e-19   3.746387e-09   8.663166e-21   144
  2.087224e-01   3.718700e-19   6.282881e-09   2.307735e-20   96
  2.096439e-01   5.285624e-20   0.000000e+00   4.191956e-21   96
  2.111095e-01   1.858628e-19   4.475232e-04   9.951644e-21   120
  2.123845e-01   3.759314e-20   0.000000e+00   1.123660e-21   120
  2.132902e-01   1.271076e-19   0.000000e+00   7.900006e-21   72
  2.150901e-01   9.143795e-21   0.000000e+00   0.000000e+00   48
  2.159845e-01   3.282794e-19   4.235416e-09   1.079798e-20   78
  2.171286e-01   5.833005e-19   4.007142e-04   5.801643e-20   168
  2.195255e-01   1.141374e-18   3.746387e-09   9.990114e-20   144
  2.204018e-01   1.223530e-18   3.746387e-09   7.582578e-20   144
  2.229436e-01   3.377510e-19   2.307791e-04   2.702755e-20   156
  2.238729e-01   2.118634e-19   4.866699e-09   2.128190e-20   48
  2.247323e-01   4.101900e-19   3.178914e-09   2.683693e-20   120
  2.255884e-01   5.109314e-19   0.000000e+00   5.623240e-20   48
  2.271022e-01   7.062946e-19   3.532495e-04   2.398911e-20   216
  2.289809e-01   3.628269e-19   0.000000e+00   1.966495e-21   48
  2.298212e-01   3.612753e-19   2.809790e-09   2.124481e-20   96
  2.310160e-01   4.807870e-19   4.128272e-04   1.669506e-20   168
  2.323239e-01   1.071415e-19   2.809790e-09   0.000000e+00   48
  2.331522e-01   4.359157e-19   0.000000e+00   1.318922e-20   96
  2.339775e-01   6.247369e-19   0.000000e+00   0.000000e+00   48
  2.356194e-01   1.667359e-19   3.178914e-09   1.538302e-20   30
  2.364362e-01   2.777316e-19   2.809790e-09   3.615827e-20   96
  2.374123e-01   2.316690e-19   3.244455e-04   2.060347e-20   240
  2.386674e-01   1.936727e-18   3.500299e-04   1.997798e-19   32
