# power spectrum of chi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.202412e-13   0.000000e+00   2.242358e-21   6
  2.776802e-02   8.333234e-13   0.000000e+00   4.484716e-21   12
  3.400874e-02   8.390174e-13   3.725290e-10   0.000000e+00   8
  3.926991e-02   6.841440e-13   0.000000e+00   3.171173e-21   6
  4.390509e-02   4.835442e-13   0.000000e+00   0.000000e+00   24
  4.809562e-02   3.018262e-13   7.024475e-10   7.927932e-22   24
  5.553604e-02   7.839464e-14   0.000000e+00   0.000000e+00   12
  5.890486e-02   2.860051e-14   7.947286e-10   1.848774e-17   30
  6.209118e-02   6.199801e-15   0.000000e+00   0.000000e+00   24
  6.512178e-02   7.210184e-17   1.216675e-09   3.352437e-25   24
  6.801748e-02   1.940054e-15   7.450581e-10   1.072780e-23   8
  7.079483e-02   6.437402e-15   9.934107e-10   0.000000e+00   24
  7.346727e-02   1.058662e-14   0.000000e+00   0.000000e+00   48
  7.853982e-02   1.378863e-14   0.000000e+00   0.000000e+00   6
  8.095699e-02   1.260810e-14   1.404895e-09   9.916026e-18   48
  8.330406e-02   1.056194e-14   0.000000e+00   7.613272e-18   36
  8.558678e-02   8.038023e-15   9.934107e-10   3.503684e-23   24
  8.781018e-02   5.685042e-15   0.000000e+00   0.000000e+00   24
  8.997866e-02   3.562478e-15   0.000000e+00   0.000000e+00   48
  9.209610e-02   1.913483e-15   1.404895e-09   0.000000e+00   24
  9.619124e-02   2.357059e-16   1.404895e-09   0.000000e+00   24
  9.817477e-02   6.654975e-18   0.000000e+00   4.934168e-19   30
  1.001190e-01   7.588031e-17   0.000000e+00   1.535343e-18   72
  1.020262e-01   3.270250e-16   1.490116e-09   3.789112e-18   32
  1.057375e-01   8.867862e-16   0.000000e+00   3.192629e-18   72
  1.075451e-01   1.163729e-15   0.000000e+00   2.189803e-24   48
  1.110721e-01   1.363672e-15   0.000000e+00   0.000000e+00   12
  1.127942e-01   1.354409e-15   0.000000e+00   2.698278e-19   48
  1.144905e-01   1.265914e-15   0.000000e+00   1.710125e-18   48
