# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.483997e-37   0.000000e+00   1.158074e-37   6
  2.776802e-02   4.301670e-13   0.000000e+00   3.963966e-22   12
  3.400874e-02   2.116035e-37   3.725290e-10   3.039309e-38   8
  3.926991e-02   1.145046e-36   0.000000e+00   6.075615e-37   6
  4.390509e-02   1.788879e-14   0.000000e+00   0.000000e+00   24
  4.809562e-02   1.838499e-13   7.024475e-10   0.000000e+00   24
  5.553604e-02   6.371007e-14   0.000000e+00   3.963966e-22   12
  5.890486e-02   2.556949e-14   7.947286e-10   2.350948e-15   30
  6.209118e-02   4.298828e-15   0.000000e+00   0.000000e+00   24
  6.512178e-02   7.878481e-14   1.216675e-09   0.000000e+00   24
  6.801748e-02   9.914185e-38   7.450581e-10   7.476957e-39   8
  7.079483e-02   7.397528e-15   9.934107e-10   1.517140e-23   24
  7.346727e-02   9.413337e-15   0.000000e+00   8.759210e-24   48
  7.853982e-02   1.016115e-36   0.000000e+00   1.155789e-37   6
  8.095699e-02   3.255444e-15   1.404895e-09   8.952640e-16   48
  8.330406e-02   5.976161e-14   0.000000e+00   9.707839e-15   36
  8.558678e-02   6.743016e-15   9.934107e-10   0.000000e+00   24
  8.781018e-02   1.133179e-15   0.000000e+00   0.000000e+00   24
  8.997866e-02   3.213374e-14   0.000000e+00   0.000000e+00   48
  9.209610e-02   1.805526e-14   1.404895e-09   0.000000e+00   24
  9.619124e-02   6.692265e-14   1.404895e-09   1.401474e-22   24
  9.817477e-02   5.127937e-15   0.000000e+00   4.825219e-16   30
  1.001190e-01   1.763055e-14   0.000000e+00   1.010486e-15   72
  1.020262e-01   1.249767e-15   1.490116e-09   4.941213e-16   32
  1.057375e-01   1.078642e-14   0.000000e+00   7.246963e-16   72
  1.075451e-01   5.414023e-15   0.000000e+00   0.000000e+00   48
  1.110721e-01   5.021750e-14   0.000000e+00   0.000000e+00   12
  1.127942e-01   4.531015e-15   0.000000e+00   1.331379e-16   48
  1.144905e-01   5.391312e-15   0.000000e+00   1.039206e-16   48
  1.161620e-01   3.738509e-15   1.404895e-09   5.474506e-25   48
  1.178097e-01   2.500495e-15   1.589457e-09   4.177100e-16   30
  1.194348e-01   1.276348e-16   1.404895e-09   1.094901e-24   24
  1.210380e-01   1.165785e-14   2.961779e-09   5.390333e-16   72
  1.241824e-01   1.710346e-15   0.000000e+00   0.000000e+00   24
  1.257251e-01   6.601542e-15   0.000000e+00   5.655187e-16   96
  1.272490e-01   3.762051e-15   0.000000e+00   0.000000e+00   48
  1.287550e-01   1.049680e-15   2.433349e-09   1.751842e-23   24
  1.302436e-01   5.662094e-15   2.433349e-09   6.068559e-23   24
  1.317153e-01   3.345240e-15   0.000000e+00   9.393025e-17   72
