# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   8.328274e-13   4.350048e-04   6.748123e-14   104
  2.059331e-01   1.250947e-13   3.746387e-09   6.005924e-15   144
  2.087224e-01   2.387315e-12   6.282881e-09   3.284425e-13   96
  2.096439e-01   4.404546e-13   0.000000e+00   1.589197e-14   96
  2.111095e-01   1.033845e-12   4.475232e-04   9.069950e-14   120
  2.123845e-01   6.401643e-13   0.000000e+00   1.563664e-14   120
  2.132902e-01   1.668854e-13   0.000000e+00   3.889957e-15   72
  2.150901e-01   4.744720e-13   0.000000e+00   7.895566e-22   48
  2.159845e-01   3.541027e-13   4.235416e-09   1.426033e-14   78
  2.171286e-01   2.043276e-12   4.007142e-04   2.767688e-13   168
  2.195255e-01   4.351064e-13   3.746387e-09   5.507867e-14   144
  2.204018e-01   2.686071e-13   3.746387e-09   1.109283e-14   144
  2.229436e-01   7.047871e-13   2.307791e-04   4.247830e-14   156
  2.238729e-01   3.484958e-13   4.866699e-09   4.702069e-14   48
  2.247323e-01   4.403836e-13   3.178914e-09   4.959184e-14   120
  2.255884e-01   1.549495e-12   0.000000e+00   2.223271e-13   48
  2.271022e-01   4.866498e-13   3.532495e-04   2.071541e-14   216
  2.289809e-01   1.142569e-13   0.000000e+00   1.431627e-14   48
  2.298212e-01   1.192393e-12   2.809790e-09   6.972252e-14   96
  2.310160e-01   4.968472e-13   4.128272e-04   3.363427e-14   168
  2.323239e-01   6.317010e-13   2.809790e-09   0.000000e+00   48
  2.331522e-01   3.805914e-13   0.000000e+00   3.647971e-14   96
  2.339775e-01   5.967459e-14   0.000000e+00   1.395752e-22   48
  2.356194e-01   2.835010e-13   3.178914e-09   2.616260e-14   30
  2.364362e-01   1.436103e-12   2.809790e-09   1.821891e-13   96
  2.374123e-01   1.177247e-12   3.244455e-04   2.248594e-14   240
  2.386674e-01   4.121531e-15   3.500299e-04   3.849528e-16   32
  2.396752e-01   9.163144e-13   0.000000e+00   5.918979e-14   168
  2.404781e-01   4.675046e-13   0.000000e+00   3.969574e-14   120
  2.420760e-01   4.840749e-13   5.923557e-09   5.911730e-15   72
  2.428710e-01   9.272258e-13   3.746387e-09   7.308776e-14   144
  2.436634e-01   3.160183e-13   0.000000e+00   1.006090e-14   96
  2.444532e-01   1.875246e-13   0.000000e+00   1.192868e-14   96
  2.460253e-01   2.214775e-13   4.588368e-09   1.719113e-14   72
  2.468075e-01   8.034224e-13   3.973643e-09   1.391924e-14   96
  2.483647e-01   1.611974e-12   0.000000e+00   6.316453e-21   24
  2.491396e-01   5.188700e-13   0.000000e+00   2.502557e-14   192
  2.500522e-01   2.587194e-13   2.970416e-04   4.025240e-14   132
  2.514501e-01   5.994180e-13   0.000000e+00   7.126659e-14   96
  2.522156e-01   8.575708e-13   0.000000e+00   3.989720e-14   96
  2.529787e-01   5.361346e-13   3.178914e-09   2.726026e-14   120
  2.544981e-01   2.590611e-13   0.000000e+00   6.837761e-22   48
  2.557435e-01   2.900067e-13   3.599905e-04   1.106101e-14   222
  2.567603e-01   3.025364e-13   0.000000e+00   2.888350e-14   120
  2.575100e-01   2.067482e-14   4.866699e-09   2.467364e-23   24
  2.586015e-01   8.591009e-13   3.715625e-04   5.471806e-14   312
  2.609797e-01   8.089883e-14   3.483547e-04   1.085028e-14   72
  2.619630e-01   4.023367e-13   2.809790e-09   4.170537e-14   96
  2.629726e-01   6.410735e-13   3.547511e-04   9.016717e-14   192
  2.641613e-01   2.018135e-12   4.495664e-09   1.257779e-13   120
  2.648900e-01   6.842619e-13   0.000000e+00   5.284422e-14   144
  2.663415e-01   6.108729e-13   0.000000e+00   0.000000e+00   48
  2.673732e-01   4.628154e-13   3.567146e-04   3.302439e-14   336
  2.685040e-01   3.833787e-14   0.000000e+00   4.874185e-15   48
  2.699360e-01   5.459215e-13   0.000000e+00   1.528860e-14   192
  2.706492e-01   1.142789e-12   0.000000e+00   0.000000e+00   48
  2.726764e-01   1.898194e-13   2.476067e-04   2.645545e-14   56
  2.736844e-01   4.674374e-13   3.180112e-04   2.100096e-14   336
  2.748894e-01   5.546197e-14   3.532127e-09   2.709463e-15   54
  2.759390e-01   4.573323e-13   3.492904e-04   4.343577e-14   240
  2.781181e-01   4.413585e-13   3.344484e-04   3.337406e-14   228
  2.790651e-01   5.203817e-13   3.746387e-09   7.282092e-14   72
  2.799844e-01   5.444384e-13   3.244231e-04   5.143054e-14   144
  2.811298e-01   4.725003e-13   0.000000e+00   3.878492e-14   96
  2.818146e-01   2.389182e-13   4.495664e-09   1.598358e-14   240
  2.831793e-01   1.406149e-14   3.973643e-09   1.888682e-24   24
  2.840530e-01   3.113266e-13   3.064151e-04   8.643575e-15   336
  2.852142e-01   3.464107e-14   0.000000e+00   1.381160e-16   72
  2.862741e-01   3.944659e-13   3.332831e-04   1.717224e-14   168
  2.872346e-01   2.219594e-13   0.000000e+00   5.230803e-15   72
  2.885737e-01   5.555277e-13   0.000000e+00   4.399934e-14   96
  2.896108e-01   6.517884e-13   3.307829e-04   2.886448e-14   216
  2.905708e-01   1.628263e-13   3.973643e-09   9.279142e-15   96
  2.918946e-01   1.137852e-12   0.000000e+00   1.983977e-13   192
  2.925542e-01   5.807312e-13   3.746387e-09   2.339693e-14   144
  2.938691e-01   2.205329e-13   0.000000e+00   5.583008e-22   48
  2.947794e-01   4.458321e-13   3.189136e-04   2.430161e-14   246
  2.960164e-01   7.344831e-13   2.940434e-04   3.782746e-14   168
  2.971308e-01   9.908759e-14   5.506041e-09   3.180139e-15   120
  2.977788e-01   3.304312e-13   0.000000e+00   2.237885e-14   240
  2.990707e-01   3.603178e-13   3.973643e-09   1.116602e-21   24
  3.001001e-01   4.334552e-13   3.147475e-04   1.574011e-14   360
  3.013820e-01   9.836674e-13   3.134082e-04   4.823438e-14   120
  3.022763e-01   6.749606e-13   0.000000e+00   4.115149e-14   144
  3.029133e-01   1.434975e-13   0.000000e+00   5.036705e-15   96
  3.048165e-01   1.565975e-13   0.000000e+00   1.236750e-14   144
  3.054482e-01   1.506556e-13   0.000000e+00   7.921630e-15   132
  3.063360e-01   4.484654e-13   3.093292e-04   6.049698e-14   176
  3.076248e-01   2.609267e-13   3.123602e-04   1.299644e-14   312
  3.092116e-01   1.068632e-12   0.000000e+00   6.731075e-14   96
  3.098343e-01   4.085729e-13   0.000000e+00   2.068163e-14   144
  3.107899e-01   3.498257e-13   3.092271e-04   3.969126e-14   312
  3.123131e-01   4.139134e-14   0.000000e+00   0.000000e+00   48
  3.129297e-01   1.450074e-13   3.973643e-09   8.330296e-15   192
  3.141593e-01   1.974409e-35   0.000000e+00   2.672586e-36   6
  3.149762e-01   2.984965e-13   2.884066e-04   7.857201e-15   288
  3.162994e-01   2.202998e-13   3.047203e-04   9.965027e-15   192
  3.172124e-01   5.033549e-13   9.345130e-09   2.274927e-14   216
  3.178195e-01   7.299097e-13   0.000000e+00   2.810389e-14   72
  3.193321e-01   2.137499e-13   3.018264e-04   3.562211e-14   192
  3.203366e-01   6.086859e-13   2.241224e-04   3.398646e-14   288
  3.214381e-01   2.117923e-13   0.000000e+00   0.000000e+00   24
  3.222890e-01   2.937284e-13   2.952626e-04   1.259783e-14   456
  3.238280e-01   6.207266e-13   5.619580e-09   3.451355e-14   48
  3.247789e-01   6.370677e-13   2.908218e-04   3.626583e-14   240
  3.258718e-01   2.416215e-13   2.939082e-04   1.040889e-14   216
  3.267908e-01   3.189095e-13   0.000000e+00   2.594444e-14   72
  3.273801e-01   3.145032e-13   1.015467e-08   2.336283e-14   168
  3.290441e-01   3.388809e-13   2.184577e-04   2.874316e-14   288
  3.299773e-01   1.735106e-13   2.890570e-04   1.760659e-14   168
  3.314762e-01   3.254786e-13   0.000000e+00   6.431840e-15   192
  3.320572e-01   1.955145e-13   3.746387e-09   9.915391e-15   144
  3.332162e-01   5.065949e-14   0.000000e+00   3.131744e-15   36
  3.341991e-01   2.878294e-13   2.639705e-04   1.342994e-14   342
  3.351389e-01   3.296612e-13   2.710657e-04   2.011457e-14   144
  3.363470e-01   2.049137e-13   2.842800e-04   9.857704e-15   384
  3.378125e-01   4.906076e-13   7.786718e-09   1.090215e-14   120
  3.385379e-01   2.833025e-13   2.534951e-04   1.937038e-14   264
  3.395201e-01   6.311080e-13   1.256576e-08   3.470288e-14   192
  3.404451e-01   2.646553e-13   2.731894e-04   1.205896e-14   152
  3.412191e-01   5.870704e-13   7.492773e-09   3.709003e-14   144
  3.428472e-01   2.956293e-13   1.768108e-04   1.715000e-14   216
  3.436008e-01   2.413095e-13   2.362665e-04   1.466196e-14   312
  3.449274e-01   2.582231e-13   2.738281e-04   2.018343e-14   240
  3.457090e-01   6.563744e-13   3.973643e-09   2.441644e-14   96
  3.471927e-01   7.829171e-13   2.617995e-04   9.079271e-14   144
  3.481071e-01   3.366769e-13   2.573258e-04   1.325417e-14   456
  3.495904e-01   3.880534e-13   0.000000e+00   2.298841e-14   120
  3.501414e-01   2.065816e-13   0.000000e+00   1.303690e-14   144
  3.512407e-01   1.818214e-14   0.000000e+00   4.934729e-23   24
  3.519456e-01   4.416357e-13   2.473498e-04   1.928340e-14   336
  3.531645e-01   2.030972e-13   2.727931e-04   7.547719e-15   198
  3.543067e-01   3.547450e-13   2.652756e-04   1.488678e-14   432
  3.556041e-01   2.678969e-13   0.000000e+00   2.933290e-14   48
  3.562810e-01   5.167978e-13   2.341925e-04   1.852729e-14   384
  3.574963e-01   1.656612e-13   2.696052e-04   7.214656e-15   144
  3.585975e-01   3.031723e-13   2.676825e-04   3.328835e-14   264
  3.599147e-01   1.195831e-12   0.000000e+00   0.000000e+00   48
  3.607984e-01   2.272535e-13   2.545223e-04   8.275413e-15   276
  3.616510e-01   3.351550e-13   2.307176e-04   3.417266e-14   192
  3.627906e-01   3.960450e-13   2.592759e-04   2.257837e-14   552
  3.641741e-01   7.309067e-13   8.991328e-09   2.625480e-14   120
  3.649965e-01   2.076065e-13   2.624511e-04   7.078423e-15   216
  3.657587e-01   4.127850e-13   4.495664e-09   3.121277e-14   120
  3.671201e-01   2.022388e-13   2.584500e-04   1.085100e-14   408
  3.683844e-01   6.904554e-13   5.619580e-09   2.233203e-21   24
  3.691684e-01   2.009808e-13   2.610810e-04   8.891846e-15   384
  3.702633e-01   3.391397e-13   2.550855e-04   1.155452e-14   240
  3.712141e-01   1.593933e-13   2.569535e-04   9.002454e-15   168
  3.725471e-01   7.729123e-13   6.357829e-09   5.037789e-14   120
  3.734064e-01   2.064184e-13   2.678605e-04   6.008222e-15   350
  3.748037e-01   3.186664e-13   4.409502e-04   2.954561e-14   384
  3.756388e-01   4.608729e-13   0.000000e+00   8.979954e-15   144
  3.771752e-01   1.841926e-13   1.059638e-08   8.136468e-15   288
  3.779773e-01   4.043282e-13   2.524053e-04   1.724749e-14   336
  3.790686e-01   2.255731e-13   2.297941e-04   6.641379e-15   168
  3.797219e-01   1.218030e-13   4.541306e-09   7.458552e-15   336
  3.810732e-01   1.995703e-13   2.385126e-04   1.540501e-14   288
  3.818848e-01   2.684927e-13   2.247398e-04   1.218682e-14   264
  3.832590e-01   2.116878e-13   0.000000e+00   1.281783e-14   240
  3.837616e-01   2.930713e-13   7.947286e-09   1.113973e-14   96
  3.855656e-01   5.079043e-13   3.056310e-04   1.863598e-14   360
  3.864075e-01   5.681604e-14   2.253025e-04   3.349192e-15   168
  3.874713e-01   3.367703e-13   2.456032e-04   1.545502e-14   456
  3.887523e-01   5.017890e-14   7.064254e-09   3.749342e-15   108
  3.894728e-01   2.005779e-13   2.464311e-04   1.491989e-14   264
  3.903716e-01   3.836534e-13   2.198567e-04   1.156570e-14   264
