# power spectrum of B
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   6.954361e-36   0.000000e+00   8.512574e-38   6
  2.776802e-02   2.253514e-35   0.000000e+00   1.193535e-36   12
  3.400874e-02   1.686175e-35   3.725290e-10   2.665608e-36   8
  3.926991e-02   6.335069e-35   0.000000e+00   8.460445e-36   6
  4.390509e-02   9.241266e-12   0.000000e+00   0.000000e+00   24
  4.809562e-02   1.380406e-13   7.024475e-10   0.000000e+00   24
  5.553604e-02   7.531161e-36   0.000000e+00   1.755472e-36   12
  5.890486e-02   4.873040e-13   7.947286e-10   9.105416e-15   30
  6.209118e-02   7.544065e-13   0.000000e+00   3.510152e-22   24
  6.512178e-02   1.907113e-12   1.216675e-09   0.000000e+00   24
  6.801748e-02   1.212351e-35   7.450581e-10   3.257933e-36   8
  7.079483e-02   4.477970e-14   9.934107e-10   6.079762e-22   24
  7.346727e-02   3.130581e-13   0.000000e+00   0.000000e+00   48
  7.853982e-02   1.249046e-35   0.000000e+00   3.078136e-38   6
  8.095699e-02   6.317323e-14   1.404895e-09   5.595770e-15   48
  8.330406e-02   2.266656e-13   0.000000e+00   2.575477e-15   36
  8.558678e-02   2.219162e-13   9.934107e-10   8.775380e-23   24
  8.781018e-02   6.249268e-13   0.000000e+00   0.000000e+00   24
  8.997866e-02   9.771807e-14   0.000000e+00   2.482052e-22   48
  9.209610e-02   6.854611e-13   1.404895e-09   0.000000e+00   24
  9.619124e-02   1.502897e-13   1.404895e-09   9.928209e-22   24
  9.817477e-02   2.270446e-13   0.000000e+00   5.920426e-15   30
  1.001190e-01   8.295843e-14   0.000000e+00   2.404755e-15   72
  1.020262e-01   1.589456e-14   1.490116e-09   3.853067e-19   32
  1.057375e-01   9.448327e-14   0.000000e+00   1.175636e-14   72
  1.075451e-01   5.175648e-13   0.000000e+00   0.000000e+00   48
  1.110721e-01   2.985505e-36   0.000000e+00   2.299973e-37   12
  1.127942e-01   3.426395e-14   0.000000e+00   1.021388e-14   48
  1.144905e-01   4.756365e-13   0.000000e+00   3.287801e-14   48
  1.161620e-01   3.909169e-14   1.404895e-09   1.241026e-22   48
  1.178097e-01   1.089788e-13   1.589457e-09   4.551274e-15   30
  1.194348e-01   2.835378e-13   1.404895e-09   0.000000e+00   24
  1.210380e-01   8.985598e-14   2.961779e-09   6.183620e-16   72
  1.241824e-01   5.129193e-14   0.000000e+00   0.000000e+00   24
  1.257251e-01   1.149641e-13   0.000000e+00   8.676416e-15   96
  1.272490e-01   1.103263e-13   0.000000e+00   6.205131e-23   48
  1.287550e-01   8.310003e-14   2.433349e-09   7.756414e-24   24
  1.302436e-01   2.035123e-13   2.433349e-09   1.241026e-22   24
  1.317153e-01   6.989090e-14   0.000000e+00   1.418620e-15   72
  1.331707e-01   9.397740e-14   0.000000e+00   6.205131e-23   48
  1.360350e-01   5.021762e-36   1.490116e-09   2.647130e-37   8
  1.374447e-01   9.842757e-15   1.766064e-09   7.695267e-16   54
  1.388401e-01   7.345770e-14   0.000000e+00   1.157566e-15   84
  1.402216e-01   9.190895e-14   0.000000e+00   5.147510e-15   48
  1.415897e-01   1.682628e-13   1.986821e-09   0.000000e+00   24
  1.429446e-01   5.006230e-14   1.873193e-09   3.011388e-15   72
  1.442869e-01   2.081336e-13   0.000000e+00   1.016948e-14   96
  1.469345e-01   3.796699e-14   0.000000e+00   8.775380e-23   48
  1.482407e-01   4.988015e-14   0.000000e+00   2.365267e-15   48
  1.495354e-01   7.685563e-14   1.986821e-09   0.000000e+00   24
  1.508189e-01   4.928736e-14   0.000000e+00   5.398239e-15   72
  1.533539e-01   3.938251e-14   1.873193e-09   2.705568e-15   72
  1.546058e-01   1.741719e-13   0.000000e+00   3.173438e-15   96
  1.570796e-01   1.088878e-35   0.000000e+00   1.381142e-36   6
  1.583021e-01   5.473039e-14   0.000000e+00   2.709314e-15   96
  1.595151e-01   4.717378e-14   1.986821e-09   5.996951e-16   96
  1.607190e-01   1.257939e-14   0.000000e+00   0.000000e+00   24
  1.619140e-01   4.327069e-14   2.809790e-09   1.079257e-14   48
  1.631002e-01   2.263658e-14   0.000000e+00   3.501984e-16   96
  1.642778e-01   5.368461e-14   0.000000e+00   0.000000e+00   48
  1.666081e-01   1.918689e-14   0.000000e+00   6.981861e-15   36
  1.677611e-01   1.042010e-13   3.441276e-09   2.007378e-15   48
  1.689063e-01   3.289889e-14   3.893359e-09   2.010945e-15   120
  1.700437e-01   8.087836e-14   0.000000e+00   1.892995e-16   56
  1.711736e-01   8.983516e-14   1.986821e-09   6.205131e-23   24
  1.722960e-01   1.165414e-13   0.000000e+00   6.656984e-16   96
  1.734112e-01   4.352089e-14   0.000000e+00   0.000000e+00   48
  1.756204e-01   5.740610e-14   0.000000e+00   0.000000e+00   24
  1.767146e-01   6.621031e-14   0.000000e+00   2.620367e-15   102
  1.778021e-01   1.052165e-13   0.000000e+00   1.133377e-14   48
  1.788829e-01   1.311710e-14   0.000000e+00   2.714668e-15   72
  1.799573e-01   1.078797e-13   0.000000e+00   8.775380e-23   48
  1.810253e-01   8.227207e-14   0.000000e+00   3.241187e-15   48
  1.820871e-01   6.070668e-14   4.495664e-09   1.024567e-15   120
  1.841922e-01   2.306271e-15   2.809790e-09   3.799851e-23   24
  1.852358e-01   5.356524e-14   2.649095e-09   5.585630e-15   144
  1.862735e-01   9.772505e-14   3.178914e-09   8.520242e-16   120
  1.873055e-01   8.260296e-14   2.809790e-09   0.000000e+00   48
  1.893526e-01   1.339435e-14   2.809790e-09   8.775380e-23   48
  1.903679e-01   1.153912e-13   2.809790e-09   1.755924e-15   96
  1.930487e-01   4.661683e-14   4.711199e-04   3.658289e-15   72
  1.943761e-01   3.437826e-14   3.532127e-09   1.081877e-15   108
  1.953653e-01   3.095775e-14   0.000000e+00   2.384981e-15   72
  1.963495e-01   1.326833e-13   0.000000e+00   2.172937e-15   30
  1.973288e-01   1.151797e-13   0.000000e+00   3.471120e-15   168
  1.983033e-01   9.664045e-14   0.000000e+00   2.159998e-14   48
  2.002380e-01   2.759608e-14   0.000000e+00   6.723672e-18   72
  2.011984e-01   2.377813e-14   0.000000e+00   9.013253e-16   96
  2.021542e-01   4.919817e-14   5.298191e-09   2.360204e-15   72
  2.031055e-01   1.847258e-14   0.000000e+00   5.596980e-16   72
  2.047049e-01   5.137871e-14   4.350048e-04   4.368283e-15   104
  2.059331e-01   8.343311e-14   3.746387e-09   3.538117e-15   144
  2.087224e-01   4.746250e-14   6.282881e-09   2.483152e-15   96
  2.096439e-01   1.181308e-13   0.000000e+00   6.440841e-15   96
  2.111095e-01   5.032230e-14   4.475232e-04   4.544698e-15   120
  2.123845e-01   4.889265e-14   0.000000e+00   7.039592e-16   120
  2.132902e-01   4.394507e-14   0.000000e+00   6.334447e-16   72
  2.150901e-01   1.657577e-14   0.000000e+00   7.756414e-24   48
  2.159845e-01   1.007421e-14   4.235416e-09   1.266419e-15   78
  2.171286e-01   4.094509e-14   4.007142e-04   2.409672e-15   168
  2.195255e-01   2.759049e-14   3.746387e-09   6.262491e-16   144
  2.204018e-01   2.953617e-14   3.746387e-09   1.819286e-15   144
  2.229436e-01   4.799333e-14   2.307791e-04   3.571307e-15   156
  2.238729e-01   7.186898e-14   4.866699e-09   1.814030e-14   48
  2.247323e-01   2.198024e-14   3.178914e-09   2.800140e-15   120
  2.255884e-01   1.532636e-14   0.000000e+00   1.487066e-15   48
  2.271022e-01   6.178376e-14   3.532495e-04   1.611659e-15   216
  2.289809e-01   1.388654e-14   0.000000e+00   8.759551e-16   48
  2.298212e-01   3.113757e-14   2.809790e-09   3.286708e-15   96
  2.310160e-01   2.861416e-14   4.128272e-04   9.646985e-16   168
  2.323239e-01   8.039867e-14   2.809790e-09   0.000000e+00   48
  2.331522e-01   1.624644e-14   0.000000e+00   7.116011e-17   96
  2.339775e-01   2.906740e-14   0.000000e+00   0.000000e+00   48
  2.356194e-01   6.976400e-14   3.178914e-09   2.787063e-15   30
  2.364362e-01   6.695225e-14   2.809790e-09   2.623144e-15   96
  2.374123e-01   4.620493e-14   3.244455e-04   1.150194e-15   240
  2.386674e-01   1.798880e-14   3.500299e-04   1.630359e-15   32
  2.396752e-01   1.553373e-14   0.000000e+00   1.944886e-16   168
  2.404781e-01   4.460767e-14   0.000000e+00   1.559139e-15   120
  2.420760e-01   2.420620e-14   5.923557e-09   2.546928e-15   72
  2.428710e-01   2.363682e-14   3.746387e-09   7.030624e-16   144
