# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.549943e-07   0.000000e+00   0.000000e+00   6
  2.776802e-02   1.239643e-07   0.000000e+00   0.000000e+00   12
  3.400874e-02   6.008747e-08   3.725290e-10   2.249782e-17   8
  3.926991e-02   1.181496e-07   0.000000e+00   0.000000e+00   6
  4.390509e-02   2.937893e-08   0.000000e+00   0.000000e+00   24
  4.809562e-02   2.643591e-08   7.024475e-10   1.623640e-18   24
  5.553604e-02   3.360040e-08   0.000000e+00   0.000000e+00   12
  5.890486e-02   8.391572e-09   7.947286e-10   1.565514e-09   30
  6.209118e-02   2.040030e-09   0.000000e+00   0.000000e+00   24
  6.512178e-02   1.399275e-09   1.216675e-09   2.812228e-18   24
  6.801748e-02   4.745876e-09   7.450581e-10   3.181673e-17   8
  7.079483e-02   7.292255e-09   9.934107e-10   0.000000e+00   24
  7.346727e-02   1.601852e-10   0.000000e+00   5.740436e-19   48
  7.853982e-02   1.901595e-09   0.000000e+00   1.836939e-17   6
  8.095699e-02   3.011095e-09   1.404895e-09   5.801444e-10   48
  8.330406e-02   3.118464e-10   0.000000e+00   1.697779e-12   36
  8.558678e-02   2.067792e-09   9.934107e-10   0.000000e+00   24
  8.781018e-02   6.098207e-10   0.000000e+00   0.000000e+00   24
  8.997866e-02   1.922393e-09   0.000000e+00   0.000000e+00   48
  9.209610e-02   7.590336e-10   1.404895e-09   4.059101e-19   24
  9.619124e-02   7.823409e-10   1.404895e-09   1.435109e-19   24
  9.817477e-02   2.289947e-09   0.000000e+00   7.521724e-11   30
  1.001190e-01   1.042563e-09   0.000000e+00   8.557216e-12   72
  1.020262e-01   1.448760e-09   1.490116e-09   1.522458e-10   32
  1.057375e-01   1.554876e-09   0.000000e+00   1.336732e-11   72
  1.075451e-01   8.851474e-10   0.000000e+00   0.000000e+00   48
  1.110721e-01   6.047003e-10   0.000000e+00   0.000000e+00   12
  1.127942e-01   8.779920e-10   0.000000e+00   3.078316e-11   48
  1.144905e-01   6.228176e-10   0.000000e+00   5.818095e-11   48
  1.161620e-01   6.428798e-10   1.404895e-09   0.000000e+00   48
  1.178097e-01   6.420520e-10   1.589457e-09   2.934047e-11   30
  1.194348e-01   1.050669e-09   1.404895e-09   0.000000e+00   24
  1.210380e-01   4.266419e-10   2.961779e-09   1.521528e-11   72
  1.241824e-01   3.143567e-10   0.000000e+00   0.000000e+00   24
  1.257251e-01   4.365595e-10   0.000000e+00   3.249095e-11   96
  1.272490e-01   1.391615e-10   0.000000e+00   4.059101e-19   48
  1.287550e-01   4.861662e-10   2.433349e-09   2.296174e-18   24
  1.302436e-01   1.441770e-10   2.433349e-09   0.000000e+00   24
  1.317153e-01   2.052526e-10   0.000000e+00   1.677179e-11   72
  1.331707e-01   5.419917e-11   0.000000e+00   1.014775e-19   48
  1.360350e-01   5.139106e-10   1.490116e-09   0.000000e+00   8
  1.374447e-01   1.194122e-10   1.766064e-09   2.988667e-12   54
  1.388401e-01   2.280500e-10   0.000000e+00   1.326119e-11   84
  1.402216e-01   1.917611e-10   0.000000e+00   1.178271e-11   48
  1.415897e-01   5.714945e-13   1.986821e-09   2.802947e-22   24
  1.429446e-01   6.395699e-11   1.873193e-09   3.066968e-12   72
  1.442869e-01   8.053736e-11   0.000000e+00   5.710288e-12   96
  1.469345e-01   7.666223e-11   0.000000e+00   5.073876e-20   48
  1.482407e-01   9.405513e-11   0.000000e+00   5.435253e-14   48
  1.495354e-01   1.205910e-13   1.986821e-09   0.000000e+00   24
  1.508189e-01   5.654038e-11   0.000000e+00   4.868065e-12   72
  1.533539e-01   1.138440e-10   1.873193e-09   1.682445e-12   72
  1.546058e-01   7.143965e-11   0.000000e+00   1.005080e-15   96
  1.570796e-01   1.915725e-10   0.000000e+00   0.000000e+00   6
  1.583021e-01   1.061667e-10   0.000000e+00   9.039158e-13   96
  1.595151e-01   2.180637e-10   1.986821e-09   2.375189e-11   96
  1.607190e-01   7.509569e-11   0.000000e+00   0.000000e+00   24
  1.619140e-01   2.342444e-10   2.809790e-09   1.987649e-11   48
  1.631002e-01   5.390219e-11   0.000000e+00   4.607571e-13   96
  1.642778e-01   3.296886e-10   0.000000e+00   0.000000e+00   48
  1.666081e-01   1.341007e-10   0.000000e+00   2.824436e-11   36
  1.677611e-01   4.581202e-11   3.441276e-09   3.227622e-13   48
  1.689063e-01   1.331752e-10   3.893359e-09   3.109111e-12   120
  1.700437e-01   7.818995e-11   0.000000e+00   4.104042e-13   56
