# power spectrum of hij
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   3.793105e-35   0.000000e+00   2.236640e-36   6
  2.776802e-02   5.802632e-08   0.000000e+00   0.000000e+00   12
  3.400874e-02   4.282643e-35   3.725290e-10   6.740713e-36   8
  3.926991e-02   2.544055e-35   0.000000e+00   8.587282e-36   6
  4.390509e-02   5.316429e-09   0.000000e+00   0.000000e+00   24
  4.809562e-02   3.850895e-08   7.024475e-10   2.078260e-16   24
  5.553604e-02   3.034168e-09   0.000000e+00   2.029551e-19   12
  5.890486e-02   1.805114e-09   7.947286e-10   1.563535e-10   30
  6.209118e-02   1.596463e-09   0.000000e+00   6.494562e-18   24
  6.512178e-02   7.314540e-09   1.216675e-09   3.673879e-17   24
  6.801748e-02   9.650247e-36   7.450581e-10   1.372152e-37   8
  7.079483e-02   4.128515e-09   9.934107e-10   0.000000e+00   24
  7.346727e-02   3.145939e-09   0.000000e+00   9.184697e-18   48
  7.853982e-02   2.068413e-35   0.000000e+00   7.635130e-36   6
  8.095699e-02   3.719158e-10   1.404895e-09   3.302623e-11   48
  8.330406e-02   1.591697e-09   0.000000e+00   8.208365e-11   36
  8.558678e-02   1.986165e-09   9.934107e-10   1.014775e-19   24
  8.781018e-02   1.290010e-09   0.000000e+00   0.000000e+00   24
  8.997866e-02   6.853367e-10   0.000000e+00   4.059101e-19   48
  9.209610e-02   4.563159e-10   1.404895e-09   0.000000e+00   24
  9.619124e-02   1.706229e-10   1.404895e-09   0.000000e+00   24
  9.817477e-02   1.695403e-09   0.000000e+00   5.335117e-11   30
  1.001190e-01   7.463507e-10   0.000000e+00   4.278667e-12   72
  1.020262e-01   4.377343e-10   1.490116e-09   8.366159e-11   32
  1.057375e-01   2.827868e-10   0.000000e+00   2.274274e-12   72
  1.075451e-01   1.567668e-10   0.000000e+00   0.000000e+00   48
  1.110721e-01   9.320070e-10   0.000000e+00   0.000000e+00   12
  1.127942e-01   3.196031e-10   0.000000e+00   2.853980e-12   48
  1.144905e-01   2.641881e-10   0.000000e+00   1.786996e-12   48
  1.161620e-01   3.498882e-10   1.404895e-09   0.000000e+00   48
  1.178097e-01   1.104704e-10   1.589457e-09   2.718450e-13   30
  1.194348e-01   9.679966e-12   1.404895e-09   0.000000e+00   24
  1.210380e-01   5.100603e-11   2.961779e-09   4.758969e-12   72
  1.241824e-01   6.449715e-11   0.000000e+00   0.000000e+00   24
  1.257251e-01   8.419286e-11   0.000000e+00   1.788572e-12   96
  1.272490e-01   1.520552e-10   0.000000e+00   5.073876e-20   48
  1.287550e-01   5.230685e-12   2.433349e-09   0.000000e+00   24
  1.302436e-01   2.021359e-11   2.433349e-09   0.000000e+00   24
  1.317153e-01   5.083233e-11   0.000000e+00   1.620807e-12   72
  1.331707e-01   5.828347e-11   0.000000e+00   8.788212e-20   48
  1.360350e-01   1.463193e-35   1.490116e-09   9.163226e-37   8
  1.374447e-01   4.835837e-12   1.766064e-09   1.171547e-14   54
  1.388401e-01   6.428105e-12   0.000000e+00   2.270146e-14   84
  1.402216e-01   1.469419e-11   0.000000e+00   1.824609e-14   48
  1.415897e-01   2.909803e-11   1.986821e-09   1.268469e-20   24
  1.429446e-01   2.335749e-11   1.873193e-09   2.031492e-12   72
  1.442869e-01   6.423466e-12   0.000000e+00   3.463015e-13   96
  1.469345e-01   1.032599e-11   0.000000e+00   3.587772e-20   48
  1.482407e-01   9.597898e-12   0.000000e+00   1.493767e-12   48
  1.495354e-01   8.989783e-12   1.986821e-09   0.000000e+00   24
  1.508189e-01   1.917731e-11   0.000000e+00   1.053040e-12   72
  1.533539e-01   7.238971e-12   1.873193e-09   8.562351e-13   72
  1.546058e-01   2.712857e-11   0.000000e+00   4.773584e-12   96
  1.570796e-01   4.281267e-35   0.000000e+00   6.127677e-36   6
  1.583021e-01   8.080724e-12   0.000000e+00   5.201317e-13   96
  1.595151e-01   4.535433e-12   1.986821e-09   1.725965e-13   96
  1.607190e-01   1.523434e-11   0.000000e+00   0.000000e+00   24
  1.619140e-01   2.206264e-12   2.809790e-09   2.281510e-14   48
  1.631002e-01   6.311904e-12   0.000000e+00   1.971044e-13   96
  1.642778e-01   2.231119e-11   0.000000e+00   0.000000e+00   48
  1.666081e-01   1.856152e-12   0.000000e+00   9.999832e-14   36
  1.677611e-01   3.177960e-12   3.441276e-09   4.502901e-13   48
  1.689063e-01   8.793295e-12   3.893359e-09   7.203345e-14   120
  1.700437e-01   3.958073e-11   0.000000e+00   3.952916e-12   56
  1.711736e-01   2.006898e-11   1.986821e-09   0.000000e+00   24
  1.722960e-01   8.302913e-12   0.000000e+00   1.791823e-13   96
  1.734112e-01   8.352889e-12   0.000000e+00   1.098526e-20   48
  1.756204e-01   2.567176e-14   0.000000e+00   0.000000e+00   24
