# power spectrum of B
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.486212e-40   0.000000e+00   7.477695e-41   6
  2.776802e-02   4.858029e-40   0.000000e+00   1.235829e-40   12
  3.400874e-02   2.264192e-40   3.725290e-10   4.640226e-41   8
  3.926991e-02   5.373136e-42   0.000000e+00   1.561431e-42   6
  4.390509e-02   8.529948e-15   0.000000e+00   0.000000e+00   24
  4.809562e-02   3.117375e-15   7.024475e-10   1.061625e-23   24
  5.553604e-02   5.808557e-41   0.000000e+00   1.618517e-41   12
  5.890486e-02   1.552750e-16   7.947286e-10   1.308608e-17   30
  6.209118e-02   2.205648e-15   0.000000e+00   0.000000e+00   24
  6.512178e-02   3.861951e-15   1.216675e-09   1.501364e-23   24
  6.801748e-02   2.185261e-42   7.450581e-10   4.223500e-43   8
  7.079483e-02   1.795222e-14   9.934107e-10   8.492998e-23   24
  7.346727e-02   2.040267e-14   0.000000e+00   0.000000e+00   48
  7.853982e-02   2.858067e-42   0.000000e+00   2.798154e-43   6
  8.095699e-02   1.355757e-14   1.404895e-09   5.402419e-16   48
  8.330406e-02   1.648830e-14   0.000000e+00   2.231774e-15   36
  8.558678e-02   6.051221e-16   9.934107e-10   0.000000e+00   24
  8.781018e-02   2.807527e-14   0.000000e+00   0.000000e+00   24
  8.997866e-02   2.204072e-14   0.000000e+00   0.000000e+00   48
  9.209610e-02   4.625235e-16   1.404895e-09   9.383526e-25   24
  9.619124e-02   2.401608e-15   1.404895e-09   3.753410e-24   24
  9.817477e-02   6.714841e-15   0.000000e+00   7.361182e-16   30
  1.001190e-01   3.648754e-14   0.000000e+00   2.858410e-15   72
  1.020262e-01   1.690420e-14   1.490116e-09   1.002212e-15   32
  1.057375e-01   1.671443e-14   0.000000e+00   3.091569e-16   72
  1.075451e-01   3.238219e-14   0.000000e+00   0.000000e+00   48
  1.110721e-01   1.212218e-42   0.000000e+00   2.555824e-43   12
  1.127942e-01   8.480697e-15   0.000000e+00   1.102895e-15   48
  1.144905e-01   1.288829e-15   0.000000e+00   1.882888e-16   48
  1.161620e-01   1.740786e-15   1.404895e-09   0.000000e+00   48
  1.178097e-01   6.356939e-16   1.589457e-09   2.862261e-17   30
  1.194348e-01   2.249520e-13   1.404895e-09   0.000000e+00   24
  1.210380e-01   5.280886e-14   2.961779e-09   7.631656e-15   72
  1.241824e-01   9.149005e-15   0.000000e+00   0.000000e+00   24
  1.257251e-01   1.850742e-15   0.000000e+00   2.111473e-16   96
  1.272490e-01   5.597735e-15   0.000000e+00   0.000000e+00   48
  1.287550e-01   2.669441e-15   2.433349e-09   9.193940e-24   24
  1.302436e-01   3.010570e-15   2.433349e-09   7.506821e-24   24
  1.317153e-01   2.669046e-15   0.000000e+00   1.355579e-16   72
  1.331707e-01   1.524883e-15   0.000000e+00   0.000000e+00   48
  1.360350e-01   1.431364e-42   1.490116e-09   2.524162e-43   8
  1.374447e-01   1.837833e-15   1.766064e-09   9.966365e-17   54
  1.388401e-01   1.085588e-14   0.000000e+00   6.034246e-16   84
  1.402216e-01   3.862787e-15   0.000000e+00   6.501225e-16   48
  1.415897e-01   2.392428e-15   1.986821e-09   5.308124e-24   24
  1.429446e-01   1.643793e-15   1.873193e-09   9.653534e-17   72
  1.442869e-01   1.683960e-15   0.000000e+00   7.158565e-17   96
