# power spectrum of phi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.884199e-07   0.000000e+00   1.439861e-15   6
  2.776802e-02   1.505285e-07   0.000000e+00   0.000000e+00   12
  3.400874e-02   5.637216e-08   3.725290e-10   4.408655e-16   8
  3.926991e-02   7.607884e-09   0.000000e+00   3.673879e-17   6
  4.390509e-02   8.440745e-10   0.000000e+00   2.296174e-18   24
  4.809562e-02   9.755986e-09   7.024475e-10   4.499564e-17   24
  5.553604e-02   1.509935e-08   0.000000e+00   5.195649e-17   12
  5.890486e-02   9.713415e-09   7.947286e-10   2.682437e-11   30
  6.209118e-02   4.155295e-09   0.000000e+00   0.000000e+00   24
  6.512178e-02   6.873039e-10   1.216675e-09   0.000000e+00   24
  6.801748e-02   9.029042e-11   7.450581e-10   3.515285e-19   8
  7.079483e-02   1.369443e-09   9.934107e-10   0.000000e+00   24
  7.346727e-02   3.189347e-09   0.000000e+00   9.184697e-18   48
  7.853982e-02   4.999337e-09   0.000000e+00   2.597825e-17   6
  8.095699e-02   4.168495e-09   1.404895e-09   1.419119e-11   48
  8.330406e-02   2.929416e-09   0.000000e+00   7.836016e-12   36
  8.558678e-02   1.561743e-09   9.934107e-10   0.000000e+00   24
  8.781018e-02   6.073606e-10   0.000000e+00   0.000000e+00   24
  8.997866e-02   6.622129e-11   0.000000e+00   2.029551e-19   48
  9.209610e-02   5.197817e-11   1.404895e-09   2.029551e-19   24
  9.619124e-02   9.298123e-10   1.404895e-09   3.247281e-18   24
  9.817477e-02   1.487741e-09   0.000000e+00   1.287178e-11   30
  1.001190e-01   1.817088e-09   0.000000e+00   2.017663e-12   72
  1.020262e-01   1.895985e-09   1.490116e-09   4.427272e-13   32
  1.057375e-01   1.423681e-09   0.000000e+00   7.253774e-13   72
  1.075451e-01   1.042727e-09   0.000000e+00   1.623640e-18   48
  1.110721e-01   2.780375e-10   0.000000e+00   0.000000e+00   12
  1.127942e-01   8.291731e-11   0.000000e+00   1.118199e-12   48
  1.144905e-01   2.186575e-12   0.000000e+00   2.598332e-13   48
  1.161620e-01   3.292450e-11   1.404895e-09   7.175545e-20   48
  1.178097e-01   1.616721e-10   1.589457e-09   1.413238e-11   30
  1.194348e-01   2.009626e-10   1.404895e-09   0.000000e+00   24
  1.210380e-01   5.316082e-10   2.961779e-09   2.791580e-13   72
  1.241824e-01   9.538392e-10   0.000000e+00   2.296174e-18   24
  1.257251e-01   9.385758e-10   0.000000e+00   7.148495e-12   96
  1.272490e-01   8.266711e-10   0.000000e+00   1.623640e-18   48
