# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.287271e-08   0.000000e+00   7.347758e-17   6
  2.776802e-02   1.872301e-09   0.000000e+00   0.000000e+00   12
  3.400874e-02   3.626301e-10   3.725290e-10   0.000000e+00   8
  3.926991e-02   1.104553e-09   0.000000e+00   6.494562e-18   6
  4.390509e-02   9.204029e-11   0.000000e+00   0.000000e+00   24
  4.809562e-02   1.873931e-10   7.024475e-10   0.000000e+00   24
  5.553604e-02   1.274562e-10   0.000000e+00   5.740436e-19   12
  5.890486e-02   1.178932e-10   7.947286e-10   3.202050e-12   30
  6.209118e-02   2.069048e-12   0.000000e+00   0.000000e+00   24
  6.512178e-02   2.512673e-11   1.216675e-09   0.000000e+00   24
  6.801748e-02   5.347651e-11   7.450581e-10   4.305327e-19   8
  7.079483e-02   3.122030e-11   9.934107e-10   7.175545e-20   24
  7.346727e-02   8.539383e-11   0.000000e+00   0.000000e+00   48
  7.853982e-02   9.125922e-12   0.000000e+00   0.000000e+00   6
  8.095699e-02   2.369531e-11   1.404895e-09   1.123744e-13   48
  8.330406e-02   7.497033e-11   0.000000e+00   1.589090e-11   36
  8.558678e-02   7.274833e-11   9.934107e-10   2.029551e-19   24
  8.781018e-02   1.280737e-11   0.000000e+00   0.000000e+00   24
  8.997866e-02   2.183536e-11   0.000000e+00   3.587772e-20   48
  9.209610e-02   1.574740e-11   1.404895e-09   0.000000e+00   24
  9.619124e-02   1.971072e-11   1.404895e-09   0.000000e+00   24
  9.817477e-02   8.096975e-11   0.000000e+00   5.602277e-12   30
  1.001190e-01   3.976759e-11   0.000000e+00   1.712414e-12   72
  1.020262e-01   1.076812e-12   1.490116e-09   5.971182e-13   32
  1.057375e-01   5.806554e-12   0.000000e+00   4.650426e-13   72
  1.075451e-01   3.144267e-12   0.000000e+00   0.000000e+00   48
  1.110721e-01   1.873366e-10   0.000000e+00   0.000000e+00   12
  1.127942e-01   2.514539e-11   0.000000e+00   3.193762e-12   48
  1.144905e-01   1.619433e-11   0.000000e+00   2.657502e-12   48
  1.161620e-01   1.639858e-11   1.404895e-09   0.000000e+00   48
  1.178097e-01   1.037596e-11   1.589457e-09   7.441404e-13   30
  1.194348e-01   5.309753e-12   1.404895e-09   2.536938e-20   24
  1.210380e-01   9.348607e-12   2.961779e-09   7.871338e-13   72
  1.241824e-01   3.738958e-13   0.000000e+00   0.000000e+00   24
  1.257251e-01   1.325137e-11   0.000000e+00   2.162458e-12   96
  1.272490e-01   3.657322e-11   0.000000e+00   0.000000e+00   48
  1.287550e-01   1.510619e-12   2.433349e-09   0.000000e+00   24
  1.302436e-01   1.386450e-12   2.433349e-09   6.342346e-21   24
  1.317153e-01   7.044557e-12   0.000000e+00   3.050126e-13   72
  1.331707e-01   9.648510e-13   0.000000e+00   0.000000e+00   48
  1.360350e-01   3.566257e-12   1.490116e-09   3.883878e-21   8
  1.374447e-01   4.989291e-12   1.766064e-09   1.338641e-13   54
  1.388401e-01   1.317870e-11   0.000000e+00   3.563962e-12   84
  1.402216e-01   1.181509e-11   0.000000e+00   1.739066e-12   48
  1.415897e-01   7.485560e-12   1.986821e-09   0.000000e+00   24
  1.429446e-01   3.927260e-12   1.873193e-09   3.039335e-13   72
  1.442869e-01   5.254939e-12   0.000000e+00   5.102313e-13   96
  1.469345e-01   7.860329e-12   0.000000e+00   1.793886e-20   48
  1.482407e-01   6.817274e-13   0.000000e+00   8.531774e-14   48
  1.495354e-01   5.765971e-13   1.986821e-09   3.171173e-21   24
  1.508189e-01   2.775473e-13   0.000000e+00   1.104204e-14   72
  1.533539e-01   7.294031e-12   1.873193e-09   9.405252e-13   72
  1.546058e-01   1.023597e-11   0.000000e+00   9.851512e-13   96
  1.570796e-01   1.402805e-12   0.000000e+00   0.000000e+00   6
  1.583021e-01   2.756515e-12   0.000000e+00   3.072597e-13   96
  1.595151e-01   2.552048e-13   1.986821e-09   1.799178e-14   96
  1.607190e-01   5.698419e-12   0.000000e+00   0.000000e+00   24
  1.619140e-01   1.087143e-12   2.809790e-09   9.166489e-14   48
  1.631002e-01   2.081691e-12   0.000000e+00   8.728652e-14   96
  1.642778e-01   1.677393e-12   0.000000e+00   0.000000e+00   48
  1.666081e-01   1.727428e-11   0.000000e+00   3.649599e-12   36
  1.677611e-01   9.128257e-12   3.441276e-09   7.142779e-13   48
  1.689063e-01   5.319051e-12   3.893359e-09   4.795109e-13   120
  1.700437e-01   2.413704e-12   0.000000e+00   1.327492e-14   56
  1.711736e-01   5.604405e-12   1.986821e-09   0.000000e+00   24
  1.722960e-01   1.148044e-13   0.000000e+00   1.250299e-14   96
  1.734112e-01   5.966498e-12   0.000000e+00   0.000000e+00   48
  1.756204e-01   5.996746e-12   0.000000e+00   0.000000e+00   24
  1.767146e-01   2.061202e-12   0.000000e+00   2.422801e-13   102
  1.778021e-01   1.381802e-12   0.000000e+00   3.999269e-13   48
  1.788829e-01   1.903770e-12   0.000000e+00   1.802289e-13   72
  1.799573e-01   9.932787e-13   0.000000e+00   2.746316e-21   48
  1.810253e-01   6.042632e-12   0.000000e+00   8.511335e-13   48
  1.820871e-01   5.985253e-12   4.495664e-09   6.271453e-13   120
  1.841922e-01   3.170020e-13   2.809790e-09   0.000000e+00   24
  1.852358e-01   3.216659e-12   2.649095e-09   1.831834e-13   144
  1.862735e-01   1.331702e-12   3.178914e-09   8.030873e-14   120
  1.873055e-01   1.739644e-12   2.809790e-09   0.000000e+00   48
  1.893526e-01   1.010678e-12   2.809790e-09   2.242358e-21   48
  1.903679e-01   2.440246e-13   2.809790e-09   4.350816e-14   96
  1.930487e-01   3.996492e-12   4.711199e-04   3.850389e-13   72
  1.943761e-01   9.583865e-12   3.532127e-09   1.672366e-12   108
  1.953653e-01   5.075773e-12   0.000000e+00   8.191907e-13   72
  1.963495e-01   5.906563e-12   0.000000e+00   3.886826e-13   30
  1.973288e-01   1.003383e-12   0.000000e+00   1.251494e-13   168
  1.983033e-01   9.021850e-13   0.000000e+00   2.313886e-13   48
  2.002380e-01   2.059046e-12   0.000000e+00   1.647892e-13   72
