# power spectrum of B
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.647955e-41   0.000000e+00   1.614647e-42   6
  2.776802e-02   4.798002e-40   0.000000e+00   1.054643e-40   12
  3.400874e-02   3.496755e-40   3.725290e-10   7.015685e-41   8
  3.926991e-02   4.186534e-41   0.000000e+00   3.889078e-42   6
  4.390509e-02   3.933825e-15   0.000000e+00   0.000000e+00   24
  4.809562e-02   2.656001e-15   7.024475e-10   7.813998e-24   24
  5.553604e-02   5.470829e-41   0.000000e+00   1.643939e-41   12
  5.890486e-02   5.198667e-18   7.947286e-10   4.410961e-19   30
  6.209118e-02   1.026850e-15   0.000000e+00   2.762665e-24   24
  6.512178e-02   4.956322e-16   1.216675e-09   1.953499e-24   24
  6.801748e-02   1.579114e-41   7.450581e-10   4.495063e-42   8
  7.079483e-02   1.645231e-16   9.934107e-10   0.000000e+00   24
  7.346727e-02   2.356724e-16   0.000000e+00   0.000000e+00   48
  7.853982e-02   6.040928e-42   0.000000e+00   6.190907e-43   6
  8.095699e-02   2.200875e-17   1.404895e-09   2.350263e-18   48
  8.330406e-02   7.159926e-17   0.000000e+00   7.941015e-18   36
  8.558678e-02   3.674548e-16   9.934107e-10   1.381333e-24   24
  8.781018e-02   1.382578e-16   0.000000e+00   0.000000e+00   24
  8.997866e-02   3.940349e-16   0.000000e+00   9.767497e-25   48
  9.209610e-02   7.533296e-18   1.404895e-09   0.000000e+00   24
  9.619124e-02   8.615528e-17   1.404895e-09   2.441874e-25   24
  9.817477e-02   8.203956e-18   0.000000e+00   2.563156e-19   30
  1.001190e-01   1.427414e-16   0.000000e+00   1.137909e-17   72
  1.020262e-01   1.732776e-16   1.490116e-09   1.206515e-17   32
  1.057375e-01   3.523797e-16   0.000000e+00   1.708520e-17   72
  1.075451e-01   3.630614e-16   0.000000e+00   0.000000e+00   48
  1.110721e-01   3.984936e-42   0.000000e+00   8.370550e-43   12
  1.127942e-01   4.909278e-16   0.000000e+00   5.749827e-17   48
  1.144905e-01   9.972305e-16   0.000000e+00   1.426304e-16   48
  1.161620e-01   3.698871e-17   1.404895e-09   0.000000e+00   48
  1.178097e-01   1.317217e-16   1.589457e-09   1.160192e-17   30
  1.194348e-01   1.339550e-15   1.404895e-09   3.906999e-24   24
  1.210380e-01   9.038217e-16   2.961779e-09   1.147119e-16   72
  1.241824e-01   2.884496e-17   0.000000e+00   1.079166e-26   24
  1.257251e-01   6.152371e-16   0.000000e+00   2.211229e-17   96
  1.272490e-01   3.645561e-16   0.000000e+00   9.767497e-25   48
  1.287550e-01   1.018471e-15   2.433349e-09   0.000000e+00   24
