# power spectrum of chi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.250973e-13   0.000000e+00   2.242358e-21   6
  2.776802e-02   5.301359e-13   0.000000e+00   2.242358e-21   12
  3.400874e-02   3.918953e-13   3.725290e-10   0.000000e+00   8
  3.926991e-02   2.155875e-13   0.000000e+00   0.000000e+00   6
  4.390509e-02   8.852511e-14   0.000000e+00   0.000000e+00   24
  4.809562e-02   2.300294e-14   7.024475e-10   7.007368e-23   24
  5.553604e-02   1.615685e-15   0.000000e+00   0.000000e+00   12
  5.890486e-02   7.855513e-15   7.947286e-10   1.668373e-18   30
  6.209118e-02   1.249910e-14   0.000000e+00   0.000000e+00   24
  6.512178e-02   1.322220e-14   1.216675e-09   0.000000e+00   24
  6.801748e-02   1.053800e-14   7.450581e-10   0.000000e+00   8
  7.079483e-02   7.034111e-15   9.934107e-10   3.034279e-23   24
  7.346727e-02   3.562259e-15   0.000000e+00   0.000000e+00   48
  7.853982e-02   1.422978e-16   0.000000e+00   0.000000e+00   6
  8.095699e-02   8.425819e-17   1.404895e-09   1.063765e-18   48
  8.330406e-02   6.433227e-16   0.000000e+00   1.011089e-17   36
  8.558678e-02   1.473894e-15   9.934107e-10   6.193697e-24   24
  8.781018e-02   1.804990e-15   0.000000e+00   0.000000e+00   24
  8.997866e-02   2.040730e-15   0.000000e+00   3.096848e-24   48
  9.209610e-02   2.222374e-15   1.404895e-09   0.000000e+00   24
  9.619124e-02   1.253660e-15   1.404895e-09   0.000000e+00   24
  9.817477e-02   8.709292e-16   0.000000e+00   7.083602e-18   30
  1.001190e-01   4.974228e-16   0.000000e+00   8.608435e-18   72
  1.020262e-01   2.356617e-16   1.490116e-09   7.236879e-18   32
  1.057375e-01   6.072223e-18   0.000000e+00   2.535248e-19   72
  1.075451e-01   8.199871e-17   0.000000e+00   0.000000e+00   48
  1.110721e-01   3.432950e-16   0.000000e+00   0.000000e+00   12
  1.127942e-01   4.948748e-16   0.000000e+00   5.340919e-18   48
  1.144905e-01   6.040621e-16   0.000000e+00   5.540706e-18   48
  1.161620e-01   6.573446e-16   1.404895e-09   0.000000e+00   48
  1.178097e-01   5.164277e-16   1.589457e-09   4.377068e-18   30
  1.194348e-01   3.673380e-16   1.404895e-09   0.000000e+00   24
  1.210380e-01   3.592200e-16   2.961779e-09   7.468701e-18   72
  1.241824e-01   1.250297e-16   0.000000e+00   3.871061e-25   24
  1.257251e-01   8.267230e-17   0.000000e+00   1.727315e-18   96
  1.272490e-01   3.551174e-17   0.000000e+00   0.000000e+00   48
  1.287550e-01   3.408198e-18   2.433349e-09   8.553916e-27   24
  1.302436e-01   1.909644e-18   2.433349e-09   2.138479e-27   24
  1.317153e-01   1.867524e-17   0.000000e+00   4.475152e-19   72
  1.331707e-01   4.242931e-17   0.000000e+00   9.677651e-26   48
  1.360350e-01   1.079197e-16   1.490116e-09   0.000000e+00   8
  1.374447e-01   1.440912e-16   1.766064e-09   1.209463e-18   54
  1.388401e-01   1.734991e-16   0.000000e+00   3.593076e-18   84
  1.402216e-01   1.784431e-16   0.000000e+00   5.730489e-18   48
  1.415897e-01   1.865998e-16   1.986821e-09   0.000000e+00   24
  1.429446e-01   1.701705e-16   1.873193e-09   1.681032e-18   72
  1.442869e-01   1.550063e-16   0.000000e+00   6.682892e-19   96
  1.469345e-01   1.078874e-16   0.000000e+00   2.737253e-25   48
  1.482407e-01   7.871605e-17   0.000000e+00   3.609117e-19   48
  1.495354e-01   5.466405e-17   1.986821e-09   0.000000e+00   24
  1.508189e-01   2.881301e-17   0.000000e+00   4.709402e-19   72
  1.533539e-01   3.259709e-18   1.873193e-09   2.677851e-20   72
  1.546058e-01   1.170320e-19   0.000000e+00   2.649686e-21   96
  1.570796e-01   6.658630e-17   0.000000e+00   5.474506e-25   6
  1.583021e-01   4.178126e-17   0.000000e+00   3.163314e-18   96
  1.595151e-01   5.237974e-17   1.986821e-09   2.946929e-18   96
  1.607190e-01   5.869374e-17   0.000000e+00   0.000000e+00   24
  1.619140e-01   6.933782e-17   2.809790e-09   2.484403e-18   48
  1.631002e-01   7.335344e-17   0.000000e+00   3.973633e-19   96
  1.642778e-01   7.819830e-17   0.000000e+00   1.368627e-25   48
  1.666081e-01   6.415388e-17   0.000000e+00   2.196386e-18   36
  1.677611e-01   6.403399e-17   3.441276e-09   2.203389e-18   48
  1.689063e-01   5.808378e-17   3.893359e-09   9.804176e-19   120
  1.700437e-01   5.681129e-17   0.000000e+00   2.981254e-19   56
  1.711736e-01   5.258949e-17   1.986821e-09   1.368627e-25   24
  1.722960e-01   3.145339e-17   0.000000e+00   3.982459e-19   96
  1.734112e-01   2.264356e-17   0.000000e+00   6.843133e-26   48
  1.756204e-01   9.528805e-18   0.000000e+00   0.000000e+00   24
  1.767146e-01   5.049182e-18   0.000000e+00   1.822918e-19   102
  1.778021e-01   1.729994e-18   0.000000e+00   2.132747e-20   48
