# power spectrum of chi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.679652e-16   0.000000e+00   8.759210e-24   6
  2.776802e-02   6.977661e-13   0.000000e+00   0.000000e+00   12
  3.400874e-02   7.741812e-15   3.725290e-10   3.034279e-23   8
  3.926991e-02   7.496641e-16   0.000000e+00   0.000000e+00   6
  4.390509e-02   1.807646e-14   0.000000e+00   0.000000e+00   24
  4.809562e-02   1.585303e-14   7.024475e-10   0.000000e+00   24
  5.553604e-02   8.728667e-14   0.000000e+00   3.963966e-22   12
  5.890486e-02   1.925485e-14   7.947286e-10   9.624089e-16   30
  6.209118e-02   4.060006e-15   0.000000e+00   0.000000e+00   24
  6.512178e-02   7.950495e-15   1.216675e-09   0.000000e+00   24
  6.801748e-02   1.333496e-14   7.450581e-10   0.000000e+00   8
  7.079483e-02   6.000218e-15   9.934107e-10   0.000000e+00   24
  7.346727e-02   1.529605e-15   0.000000e+00   1.238739e-23   48
  7.853982e-02   2.858818e-17   0.000000e+00   1.935530e-25   6
  8.095699e-02   7.945140e-16   1.404895e-09   5.692481e-17   48
  8.330406e-02   6.188007e-14   0.000000e+00   1.190791e-14   36
  8.558678e-02   1.093659e-14   9.934107e-10   3.034279e-23   24
  8.781018e-02   1.354780e-15   0.000000e+00   0.000000e+00   24
  8.997866e-02   5.526996e-16   0.000000e+00   3.096848e-24   48
  9.209610e-02   2.429091e-15   1.404895e-09   0.000000e+00   24
  9.619124e-02   7.286683e-15   1.404895e-09   4.954957e-23   24
  9.817477e-02   4.677959e-15   0.000000e+00   2.488483e-16   30
  1.001190e-01   1.062269e-15   0.000000e+00   2.521553e-16   72
  1.020262e-01   1.633524e-15   1.490116e-09   1.651551e-17   32
  1.057375e-01   6.018980e-16   0.000000e+00   1.680679e-16   72
  1.075451e-01   3.673741e-16   0.000000e+00   0.000000e+00   48
  1.110721e-01   5.892697e-14   0.000000e+00   2.802947e-22   12
  1.127942e-01   3.658957e-15   0.000000e+00   2.034792e-16   48
  1.144905e-01   7.213114e-16   0.000000e+00   2.565839e-16   48
  1.161620e-01   1.116224e-16   1.404895e-09   6.843133e-26   48
  1.178097e-01   1.781648e-15   1.589457e-09   1.923175e-16   30
  1.194348e-01   8.865286e-18   1.404895e-09   0.000000e+00   24
  1.210380e-01   8.679479e-16   2.961779e-09   7.669119e-17   72
  1.241824e-01   1.015549e-15   0.000000e+00   2.370531e-25   24
  1.257251e-01   7.378665e-16   0.000000e+00   6.836592e-17   96
  1.272490e-01   1.740505e-15   0.000000e+00   3.096848e-24   48
  1.287550e-01   1.822370e-15   2.433349e-09   0.000000e+00   24
  1.302436e-01   1.208019e-16   2.433349e-09   1.896425e-24   24
  1.317153e-01   1.181989e-15   0.000000e+00   2.200953e-18   72
  1.331707e-01   1.038924e-16   0.000000e+00   5.474506e-25   48
  1.360350e-01   9.186220e-15   1.490116e-09   0.000000e+00   8
  1.374447e-01   3.627255e-16   1.766064e-09   3.110699e-17   54
  1.388401e-01   1.117675e-14   0.000000e+00   1.630825e-15   84
  1.402216e-01   4.980499e-15   0.000000e+00   8.783222e-16   48
  1.415897e-01   7.455925e-17   1.986821e-09   7.742121e-25   24
  1.429446e-01   1.296988e-15   1.873193e-09   4.795747e-18   72
  1.442869e-01   7.354748e-16   0.000000e+00   2.177732e-17   96
  1.469345e-01   6.419456e-16   0.000000e+00   4.379605e-24   48
  1.482407e-01   9.827215e-16   0.000000e+00   2.040424e-16   48
  1.495354e-01   5.552926e-16   1.986821e-09   1.710783e-26   24
  1.508189e-01   1.408624e-16   0.000000e+00   2.501651e-17   72
  1.533539e-01   1.126441e-15   1.873193e-09   2.922875e-16   72
  1.546058e-01   1.114174e-15   0.000000e+00   1.807196e-16   96
  1.570796e-01   1.557273e-17   0.000000e+00   0.000000e+00   6
  1.583021e-01   2.508882e-16   0.000000e+00   5.374065e-17   96
  1.595151e-01   2.579193e-16   1.986821e-09   5.519838e-18   96
  1.607190e-01   2.653283e-17   0.000000e+00   0.000000e+00   24
  1.619140e-01   2.283025e-15   2.809790e-09   4.998359e-16   48
  1.631002e-01   2.264742e-16   0.000000e+00   4.365669e-17   96
  1.642778e-01   1.193933e-16   0.000000e+00   0.000000e+00   48
  1.666081e-01   1.302501e-14   0.000000e+00   2.880532e-15   36
  1.677611e-01   5.436762e-16   3.441276e-09   6.968451e-17   48
  1.689063e-01   1.393773e-16   3.893359e-09   3.919731e-17   120
  1.700437e-01   5.043379e-16   0.000000e+00   9.692056e-19   56
  1.711736e-01   4.102549e-16   1.986821e-09   2.189803e-24   24
  1.722960e-01   4.191062e-16   0.000000e+00   4.429017e-17   96
  1.734112e-01   8.798291e-16   0.000000e+00   3.096848e-24   48
  1.756204e-01   8.171865e-17   0.000000e+00   0.000000e+00   24
  1.767146e-01   6.120209e-16   0.000000e+00   1.971788e-16   102
  1.778021e-01   9.050435e-16   0.000000e+00   2.634362e-18   48
  1.788829e-01   1.133950e-16   0.000000e+00   1.079989e-18   72
  1.799573e-01   3.631141e-17   0.000000e+00   1.481582e-26   48
  1.810253e-01   1.385049e-15   0.000000e+00   2.849772e-16   48
  1.820871e-01   5.775306e-16   4.495664e-09   6.925844e-17   120
  1.841922e-01   4.008049e-15   2.809790e-09   0.000000e+00   24
  1.852358e-01   7.044339e-16   2.649095e-09   6.571033e-18   144
  1.862735e-01   2.399737e-16   3.178914e-09   3.692052e-17   120
  1.873055e-01   2.986288e-16   2.809790e-09   0.000000e+00   48
  1.893526e-01   1.607384e-17   2.809790e-09   6.843133e-26   48
  1.903679e-01   7.411251e-17   2.809790e-09   1.116459e-18   96
  1.930487e-01   1.023707e-15   4.711199e-04   3.495603e-17   72
  1.943761e-01   8.853061e-15   3.532127e-09   1.701803e-15   108
  1.953653e-01   4.828539e-16   0.000000e+00   1.826558e-17   72
  1.963495e-01   1.151256e-16   0.000000e+00   3.944040e-18   30
  1.973288e-01   1.017914e-15   0.000000e+00   1.544097e-17   168
  1.983033e-01   1.515305e-16   0.000000e+00   3.530338e-17   48
  2.002380e-01   1.338988e-16   0.000000e+00   1.807845e-17   72
  2.011984e-01   2.472474e-16   0.000000e+00   9.600648e-17   96
  2.021542e-01   2.140576e-16   5.298191e-09   7.461439e-18   72
  2.031055e-01   2.844831e-16   0.000000e+00   4.500098e-17   72
  2.047049e-01   1.698799e-16   4.350048e-04   4.393772e-18   104
  2.059331e-01   8.693513e-16   3.746387e-09   2.366920e-17   144
  2.087224e-01   2.527091e-16   6.282881e-09   6.395455e-18   96
  2.096439e-01   7.090824e-16   0.000000e+00   1.268028e-16   96
  2.111095e-01   3.427043e-16   4.475232e-04   5.819329e-18   120
  2.123845e-01   2.737193e-16   0.000000e+00   6.005692e-17   120
  2.132902e-01   7.206302e-17   0.000000e+00   1.081594e-17   72
  2.150901e-01   2.094130e-16   0.000000e+00   0.000000e+00   48
  2.159845e-01   1.198748e-15   4.235416e-09   1.057401e-16   78
  2.171286e-01   9.645841e-16   4.007142e-04   3.379840e-17   168
  2.195255e-01   2.193815e-16   3.746387e-09   3.032236e-18   144
  2.204018e-01   6.726267e-16   3.746387e-09   2.393600e-17   144
  2.229436e-01   3.746031e-15   2.307791e-04   8.798423e-16   156
  2.238729e-01   1.366717e-15   4.866699e-09   2.310593e-19   48
  2.247323e-01   7.187485e-16   3.178914e-09   5.973601e-17   120
  2.255884e-01   1.231074e-15   0.000000e+00   3.608710e-17   48
  2.271022e-01   3.423313e-16   3.532495e-04   2.029239e-17   216
  2.289809e-01   4.126874e-16   0.000000e+00   7.150282e-17   48
  2.298212e-01   3.006512e-16   2.809790e-09   3.799439e-17   96
  2.310160e-01   1.404871e-16   4.128272e-04   1.310524e-17   168
  2.323239e-01   2.327390e-16   2.809790e-09   3.462382e-24   48
  2.331522e-01   4.164103e-16   0.000000e+00   6.182372e-18   96
  2.339775e-01   3.488854e-16   0.000000e+00   0.000000e+00   48
  2.356194e-01   1.052648e-15   3.178914e-09   6.251870e-17   30
  2.364362e-01   2.949645e-15   2.809790e-09   1.561100e-16   96
  2.374123e-01   4.106034e-16   3.244455e-04   7.788315e-17   240
  2.386674e-01   6.031840e-17   3.500299e-04   3.889694e-18   32
  2.396752e-01   9.241956e-17   0.000000e+00   5.619643e-18   168
  2.404781e-01   7.861154e-16   0.000000e+00   5.992968e-17   120
  2.420760e-01   5.637323e-16   5.923557e-09   7.453343e-17   72
  2.428710e-01   5.160934e-16   3.746387e-09   3.652013e-17   144
  2.436634e-01   2.830425e-16   0.000000e+00   5.094509e-18   96
  2.444532e-01   4.510464e-17   0.000000e+00   9.276223e-20   96
  2.460253e-01   2.121640e-16   4.588368e-09   7.728060e-17   72
  2.468075e-01   8.112363e-16   3.973643e-09   3.256557e-16   96
  2.483647e-01   8.626324e-18   0.000000e+00   0.000000e+00   24
  2.491396e-01   9.244758e-16   0.000000e+00   4.917035e-17   192
  2.500522e-01   3.140948e-15   2.970416e-04   6.760640e-16   132
  2.514501e-01   2.738482e-16   0.000000e+00   2.754476e-17   96
  2.522156e-01   3.902816e-16   0.000000e+00   1.099139e-16   96
  2.529787e-01   4.781321e-16   3.178914e-09   8.009107e-17   120
  2.544981e-01   3.589724e-16   0.000000e+00   0.000000e+00   48
  2.557435e-01   1.748182e-16   3.599905e-04   1.305801e-17   222
  2.567603e-01   5.684039e-16   0.000000e+00   1.535986e-17   120
  2.575100e-01   7.250854e-16   4.866699e-09   8.759210e-24   24
  2.586015e-01   2.612997e-16   3.715625e-04   3.251697e-17   312
  2.609797e-01   6.350816e-16   3.483547e-04   3.824671e-17   72
  2.619630e-01   1.786274e-16   2.809790e-09   1.869664e-17   96
